2019-07-03 06:58:38,070 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-07-03 06:58:38,342 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-07-03 06:58:38,343 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-07-03 06:58:38,521 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a8da186b-bb6b-4459-a510-b8937b30d62c, Nodes: d3cb4535-7287-47ed-b72c-3506069c5769{ip: 171.40.157.216, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-07-03 06:58:38,788 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0a9f3600-986e-4321-bf57-c8529fe3b4f1, Nodes: ac0a6b76-267d-469e-b5ed-e21f0da6244a{ip: 97.225.11.33, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-07-03 06:58:38,790 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6d78189a-7b4a-4c20-9008-b988742e4014, Nodes: 7115a25d-d1df-40a2-ae44-27d5e05e0f95{ip: 70.202.72.195, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-07-03 06:58:38,791 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 771885d5-7546-4ef3-b2de-29b416a0e674, Nodes: 535988a2-888d-40f4-a522-bdf93db89dbc{ip: 243.199.137.89, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-07-03 06:58:38,793 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ba63c13d-f1d1-45db-afe8-d346f3a21ea6, Nodes: 9e8f98f4-f877-421f-8aa0-84be1fe1347c{ip: 145.59.40.61, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-07-03 06:58:38,795 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3666f584-4ed4-4095-94c8-0cb5138a9e87, Nodes: 55f8e29b-8f6e-4e02-8bfd-c2ead3ed7af4{ip: 129.13.253.152, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-07-03 06:58:38,797 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c77dbfd3-b252-4d9c-a3a7-fae6e5463d5a, Nodes: d3cb4535-7287-47ed-b72c-3506069c5769{ip: 171.40.157.216, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-07-03 06:58:38,799 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8f46cc21-6e4b-45ea-8245-4f495f1d9e87, Nodes: ac0a6b76-267d-469e-b5ed-e21f0da6244a{ip: 97.225.11.33, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-07-03 06:58:38,801 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 270b264f-c34a-4731-ba4b-5cbaffaaf5ce, Nodes: 55f8e29b-8f6e-4e02-8bfd-c2ead3ed7af4{ip: 129.13.253.152, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-07-03 06:58:38,803 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 369434a2-f132-4f08-8db0-75fc846f946b, Nodes: 535988a2-888d-40f4-a522-bdf93db89dbc{ip: 243.199.137.89, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-07-03 06:58:38,805 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 33c51b21-9b19-4c09-b057-04038e291320, Nodes: 9e8f98f4-f877-421f-8aa0-84be1fe1347c{ip: 145.59.40.61, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-07-03 06:58:38,806 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9ead0c77-9f1c-42ff-b0e9-ea518166b6e1, Nodes: 55f8e29b-8f6e-4e02-8bfd-c2ead3ed7af4{ip: 129.13.253.152, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-07-03 06:58:38,808 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c4d68726-1cb6-4f45-ac81-11c7166f0a3c, Nodes: ac0a6b76-267d-469e-b5ed-e21f0da6244a{ip: 97.225.11.33, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-07-03 06:58:38,812 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f346ea38-1185-4dd8-b0f8-e081d82b88c0, Nodes: ac0a6b76-267d-469e-b5ed-e21f0da6244a{ip: 97.225.11.33, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-07-03 06:58:38,813 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7a8b2288-406e-44b0-8136-11f4cd116ea0, Nodes: ac0a6b76-267d-469e-b5ed-e21f0da6244a{ip: 97.225.11.33, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-07-03 06:58:38,815 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: dc96c710-f3ad-44bb-9d3e-937cc7d89c5a, Nodes: 677b61fc-b1e0-42a1-a549-b4cb0c793128{ip: 145.127.13.108, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-07-03 06:58:38,817 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f69eac45-4b32-4d29-a3ab-965a526626da, Nodes: 55f8e29b-8f6e-4e02-8bfd-c2ead3ed7af4{ip: 129.13.253.152, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-07-03 06:58:38,819 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d9fe74e3-9d02-40df-9c80-69690fb07bf2, Nodes: 677b61fc-b1e0-42a1-a549-b4cb0c793128{ip: 145.127.13.108, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-07-03 06:58:38,820 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 002f958f-07ec-4acc-aa99-ddebb14308ed, Nodes: d3cb4535-7287-47ed-b72c-3506069c5769{ip: 171.40.157.216, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-07-03 06:58:38,822 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1d65323c-d9f8-475f-9c39-36f7b9a7b1c0, Nodes: 9e8f98f4-f877-421f-8aa0-84be1fe1347c{ip: 145.59.40.61, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-07-03 06:58:38,824 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 77863130-f223-4b10-8cc8-6e33d1ca39dd, Nodes: ac0a6b76-267d-469e-b5ed-e21f0da6244a{ip: 97.225.11.33, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
