2019-06-15 07:05:01,421 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-15 07:05:01,657 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-15 07:05:01,658 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-15 07:05:01,794 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4482c45e-186d-410c-912b-8937f059a3d0, Nodes: 4139f9f4-d6a1-4a12-9bd5-f19fe1ed0515{ip: 73.229.255.226, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 07:05:01,991 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 73888182-95c0-47a3-8e8c-0aded37e4d2b, Nodes: ffe4c332-56c8-4320-86fe-e4b1765cc358{ip: 235.167.213.5, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 07:05:01,992 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 24de15f4-ffc1-45eb-9270-e90c843acafa, Nodes: b832c526-e97b-461f-aa06-791eeef43edc{ip: 1.27.190.198, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 07:05:01,993 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 45b8cb56-e857-42df-b9c2-4532ec28f321, Nodes: a5588d01-4dc6-4bdb-8433-3536e9785d1c{ip: 72.22.89.255, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 07:05:01,994 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9146469e-f8ad-44d9-b525-cfd401bd1fe9, Nodes: d881752f-ccc1-43eb-ad89-d3511c97e8b5{ip: 220.8.68.123, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 07:05:02,022 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e7103321-9dd0-4be0-ae65-c45226805119, Nodes: 9410bada-d372-488d-96fc-7a8d9dd21553{ip: 170.135.236.20, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 07:05:02,023 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5e76b396-7673-4d6b-b3f1-e47ecee9c5d4, Nodes: a5588d01-4dc6-4bdb-8433-3536e9785d1c{ip: 72.22.89.255, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 07:05:02,023 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: aa55a1af-003d-4892-b4f0-1f1d04fa6a4a, Nodes: b832c526-e97b-461f-aa06-791eeef43edc{ip: 1.27.190.198, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 07:05:02,024 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 504cc1f4-9034-4af1-b94f-5572658eee5a, Nodes: 4139f9f4-d6a1-4a12-9bd5-f19fe1ed0515{ip: 73.229.255.226, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 07:05:02,025 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4c4c134d-15b6-4290-b1f2-7c31d1717bfe, Nodes: 9410bada-d372-488d-96fc-7a8d9dd21553{ip: 170.135.236.20, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 07:05:02,026 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cfa83931-3125-46f9-be6c-04dcb6c7f35f, Nodes: 54d568ba-213b-42c3-83c5-57deff87aabe{ip: 65.174.148.207, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
