2019-06-15 12:32:10,449 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-15 12:32:10,455 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 3 milliseconds for processing 0 containers.
2019-06-15 12:32:10,835 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #1844913242085870592 is under replicated. Expected replica count is 3, but found 2.
2019-06-15 12:32:10,836 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #1844913242085870592 to datanode fc15c472-5b97-48fc-bc91-0abe4700f1de{ip: 241.66.85.130, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-15 12:32:10,845 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 42 milliseconds for processing 1 containers.
2019-06-15 12:32:10,914 INFO  container.ReplicationManager (ReplicationManager.java:sendDeleteCommand(675)) - Sending delete container command for container #1844913242085870592 to datanode 76eb9b51-a933-4767-9048-5c676bf091b4{ip: 9.163.251.0, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-15 12:32:10,916 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 10 milliseconds for processing 1 containers.
2019-06-15 12:32:11,008 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #1844913242085870592 is under replicated. Expected replica count is 3, but found 2.
2019-06-15 12:32:11,008 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #1844913242085870592 to datanode e7a64ad1-665f-4bcf-a2a6-638ff0755d6a{ip: 76.29.202.87, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-15 12:32:11,008 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 1 containers.
2019-06-15 12:32:11,107 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-15 12:32:11,139 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-15 12:32:11,166 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 24 milliseconds for processing 0 containers.
2019-06-15 12:32:11,244 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-15 12:32:11,343 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
