2019-06-15 11:32:41,811 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-15 11:32:41,817 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 0 containers.
2019-06-15 11:32:42,124 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #5795497158487735296 is under replicated. Expected replica count is 3, but found 2.
2019-06-15 11:32:42,124 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #5795497158487735296 to datanode 8cb5aae5-9d09-4a78-98d1-ae32af9c328d{ip: 241.66.85.130, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-15 11:32:42,130 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 28 milliseconds for processing 1 containers.
2019-06-15 11:32:42,209 INFO  container.ReplicationManager (ReplicationManager.java:sendDeleteCommand(675)) - Sending delete container command for container #5795497158487735296 to datanode 2e3d2adc-1f22-4008-8ed4-3d5b66e40874{ip: 252.246.163.203, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-15 11:32:42,211 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 8 milliseconds for processing 1 containers.
2019-06-15 11:32:42,306 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #5795497158487735296 is under replicated. Expected replica count is 3, but found 2.
2019-06-15 11:32:42,306 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #5795497158487735296 to datanode a93b5177-230f-489b-a6fc-68fe0d49aca8{ip: 76.29.202.87, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-15 11:32:42,306 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 1 containers.
2019-06-15 11:32:42,405 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-15 11:32:42,426 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-15 11:32:42,444 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 17 milliseconds for processing 0 containers.
2019-06-15 11:32:42,527 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-15 11:32:42,626 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-15 11:32:42,644 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-15 11:32:42,646 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-15 11:32:42,748 INFO  container.ReplicationManager (ReplicationManager.java:forceCloseContainer(446)) - Force closing container #1706714927716110336 with BCSID 10000, which is in QUASI_CLOSED state.
2019-06-15 11:32:42,749 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #1706714927716110336 to datanode 95680ec3-f0ac-48f5-afe6-59037fdc4e5f{ip: 185.144.147.24, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-15 11:32:42,750 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #1706714927716110336 to datanode 134fc630-6466-442b-a57d-5c416bb1d1ce{ip: 151.191.52.166, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-15 11:32:42,751 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #1706714927716110336 to datanode e4892424-97c6-4349-96fd-c5a5f3bc0f8a{ip: 79.154.184.50, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-15 11:32:42,751 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 5 milliseconds for processing 1 containers.
2019-06-15 11:32:42,846 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-15 11:32:42,860 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-15 11:32:42,861 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-15 11:32:42,962 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #2068827524854175744 to datanode 0ae27e0a-a003-442c-909d-7edcf1ba0123{ip: 47.210.40.129, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-15 11:32:42,962 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #2068827524854175744 to datanode 1fbf5e99-2d59-482d-a9cb-ef152ce9b173{ip: 197.14.234.219, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-15 11:32:42,962 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #2068827524854175744 to datanode 9818dd43-87c2-4afb-b39c-ffdb22098b39{ip: 19.223.57.88, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-15 11:32:42,962 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 1 containers.
2019-06-15 11:32:43,061 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #2068827524854175744 to datanode 0ae27e0a-a003-442c-909d-7edcf1ba0123{ip: 47.210.40.129, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-15 11:32:43,061 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #2068827524854175744 to datanode 1fbf5e99-2d59-482d-a9cb-ef152ce9b173{ip: 197.14.234.219, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-15 11:32:43,062 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #2068827524854175744 to datanode 9818dd43-87c2-4afb-b39c-ffdb22098b39{ip: 19.223.57.88, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-15 11:32:43,062 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 1 containers.
2019-06-15 11:32:43,161 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-15 11:32:43,173 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-15 11:32:43,173 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-15 11:32:43,274 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 1 containers.
2019-06-15 11:32:43,373 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-15 11:32:43,389 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-15 11:32:43,389 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-15 11:32:43,501 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-15 11:32:43,512 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-15 11:32:43,512 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-15 11:32:43,613 INFO  container.ReplicationManager (ReplicationManager.java:handleOverReplicatedContainer(525)) - Container #7414132378980936704 is over replicated. Expected replica count is 3, but found 4.
2019-06-15 11:32:43,615 INFO  container.ReplicationManager (ReplicationManager.java:sendDeleteCommand(675)) - Sending delete container command for container #7414132378980936704 to datanode 5d874957-3502-469a-aae4-a990701b0d97{ip: 4.94.192.101, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-15 11:32:43,617 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 4 milliseconds for processing 1 containers.
2019-06-15 11:32:43,713 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-15 11:32:43,726 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-15 11:32:43,727 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-15 11:32:43,827 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 1 containers.
2019-06-15 11:32:43,927 INFO  container.ReplicationManager (ReplicationManager.java:sendDeleteCommand(675)) - Sending delete container command for container #9092755073319729152 to datanode b63933aa-4c8c-4bce-8ae5-7bfea08643e1{ip: 252.238.118.122, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-15 11:32:43,928 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 1 containers.
2019-06-15 11:32:44,028 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #9092755073319729152 is under replicated. Expected replica count is 3, but found 2.
2019-06-15 11:32:44,028 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #9092755073319729152 to datanode 50f4f7e6-04ac-4a91-9b73-aa29039f4791{ip: 241.66.85.130, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-15 11:32:44,028 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-15 11:32:44,127 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-15 11:32:44,138 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-15 11:32:44,138 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-15 11:32:44,239 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #6041623023317537792 to datanode 84549ffb-9b30-4458-9722-e01ef0551cb5{ip: 184.206.175.165, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-15 11:32:44,239 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #6041623023317537792 to datanode dbe9ba51-f336-45e8-94e5-c52d93dc945e{ip: 224.155.5.166, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-15 11:32:44,239 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-15 11:32:44,338 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-15 11:32:44,351 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-15 11:32:44,351 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-15 11:32:44,451 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 1 containers.
2019-06-15 11:32:44,551 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-15 11:32:44,563 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-15 11:32:44,564 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-15 11:32:44,664 INFO  container.ReplicationManager (ReplicationManager.java:handleOverReplicatedContainer(525)) - Container #1050901422961423360 is over replicated. Expected replica count is 3, but found 4.
2019-06-15 11:32:44,664 INFO  container.ReplicationManager (ReplicationManager.java:sendDeleteCommand(675)) - Sending delete container command for container #1050901422961423360 to datanode a991a0c8-cf33-4aa0-881a-0c00c362f8a3{ip: 13.184.142.192, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-15 11:32:44,665 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-15 11:32:44,764 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-15 11:32:44,775 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-15 11:32:44,776 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-15 11:32:44,876 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #1808067232026395648 is under replicated. Expected replica count is 3, but found 2.
2019-06-15 11:32:44,876 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #1808067232026395648 to datanode 2a5312fe-a88e-4113-ade0-d1eca0bff7b1{ip: 241.66.85.130, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-15 11:32:44,877 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-15 11:32:44,976 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
