2019-06-15 13:35:39,691 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-15 13:35:39,698 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 0 containers.
2019-06-15 13:35:40,040 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #6045698789917975552 is under replicated. Expected replica count is 3, but found 2.
2019-06-15 13:35:40,040 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #6045698789917975552 to datanode 8d794e85-1ab8-4ed1-ac64-550557400ca8{ip: 241.66.85.130, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-15 13:35:40,045 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 25 milliseconds for processing 1 containers.
2019-06-15 13:35:40,128 INFO  container.ReplicationManager (ReplicationManager.java:sendDeleteCommand(675)) - Sending delete container command for container #6045698789917975552 to datanode ff530fe5-23bf-49a4-94f7-6b475b091fab{ip: 133.65.23.149, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-15 13:35:40,129 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 8 milliseconds for processing 1 containers.
2019-06-15 13:35:40,225 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #6045698789917975552 is under replicated. Expected replica count is 3, but found 2.
2019-06-15 13:35:40,225 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #6045698789917975552 to datanode 146ae11f-2aa4-4b15-81bf-56c075341f1a{ip: 76.29.202.87, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-15 13:35:40,225 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 3 milliseconds for processing 1 containers.
2019-06-15 13:35:40,324 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-15 13:35:40,353 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-15 13:35:40,354 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-15 13:35:40,456 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 1 containers.
2019-06-15 13:35:40,554 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-15 13:35:40,567 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-15 13:35:40,569 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-15 13:35:40,671 INFO  container.ReplicationManager (ReplicationManager.java:forceCloseContainer(446)) - Force closing container #3656120761371641856 with BCSID 10000, which is in QUASI_CLOSED state.
2019-06-15 13:35:40,673 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #3656120761371641856 to datanode f696425a-12d6-45c1-8e16-02e2defe037e{ip: 126.183.33.59, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-15 13:35:40,674 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #3656120761371641856 to datanode b994aae8-fe59-4646-b376-887b5210e44b{ip: 67.59.93.153, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-15 13:35:40,674 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #3656120761371641856 to datanode ba871786-87df-48e0-9549-a081cff1ea3c{ip: 188.243.187.101, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-15 13:35:40,674 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 5 milliseconds for processing 1 containers.
2019-06-15 13:35:40,769 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-15 13:35:40,782 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-15 13:35:40,783 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-15 13:35:40,884 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #3465993383556741120 to datanode e6e94fe9-ec54-4894-808b-e3aded76ad88{ip: 160.26.63.83, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-15 13:35:40,884 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #3465993383556741120 to datanode 7df3d9ab-90ca-4ba2-a2f0-a7e69f583aa0{ip: 195.72.179.14, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-15 13:35:40,884 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #3465993383556741120 to datanode d7d6abbd-c2e9-478d-a48e-64b3f8d6b0ad{ip: 186.106.49.190, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-15 13:35:40,884 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-15 13:35:40,983 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #3465993383556741120 to datanode e6e94fe9-ec54-4894-808b-e3aded76ad88{ip: 160.26.63.83, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-15 13:35:40,984 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #3465993383556741120 to datanode 7df3d9ab-90ca-4ba2-a2f0-a7e69f583aa0{ip: 195.72.179.14, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-15 13:35:40,984 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #3465993383556741120 to datanode d7d6abbd-c2e9-478d-a48e-64b3f8d6b0ad{ip: 186.106.49.190, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-15 13:35:40,984 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-15 13:35:41,083 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-15 13:35:41,095 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-15 13:35:41,096 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-15 13:35:41,197 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-15 13:35:41,296 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-15 13:35:41,310 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-15 13:35:41,311 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-15 13:35:41,427 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-15 13:35:41,438 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-15 13:35:41,439 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-15 13:35:41,539 INFO  container.ReplicationManager (ReplicationManager.java:handleOverReplicatedContainer(525)) - Container #7041996496024228864 is over replicated. Expected replica count is 3, but found 4.
2019-06-15 13:35:41,541 INFO  container.ReplicationManager (ReplicationManager.java:sendDeleteCommand(675)) - Sending delete container command for container #7041996496024228864 to datanode ea8a1e95-ceda-4c5f-b6a2-c65ab06978a7{ip: 95.210.132.102, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-15 13:35:41,541 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 1 containers.
