2019-06-18 07:39:15,191 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-18 07:39:15,387 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-18 07:39:15,388 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-18 07:39:15,481 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: aea8ed2c-0260-44fd-84b1-a0dece8a1f3e, Nodes: c017953a-af5b-4b09-90aa-7c42073e76c8{ip: 242.219.240.246, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,691 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5367bf17-30b5-46ee-88b2-eab32040bfd6, Nodes: ee103dc9-b751-45aa-9a27-5ab8cc88865a{ip: 150.206.175.169, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,706 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 11f352b7-0a79-4817-8516-653c66f04375, Nodes: 6b462976-010f-417e-be0f-3e25ac8a6d2e{ip: 188.7.55.233, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,709 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: faf916a9-f5e8-48cb-8547-77ac78bf02be, Nodes: 9834910c-6265-4fb4-8f34-7e764b63d3e3{ip: 23.118.95.21, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,710 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9bd3b305-0201-4e59-a07f-63ff61472557, Nodes: ea4291cd-5ee5-47de-8b1b-f3180f517e21{ip: 112.97.42.95, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,711 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9c6c96b7-7572-4d00-97fc-1bf42da66992, Nodes: 9834910c-6265-4fb4-8f34-7e764b63d3e3{ip: 23.118.95.21, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,712 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fa18ec66-b4cf-4e69-ba99-f46028177830, Nodes: ea4291cd-5ee5-47de-8b1b-f3180f517e21{ip: 112.97.42.95, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,713 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0c2b81e2-5484-446a-a65c-68f3d10a0650, Nodes: 9834910c-6265-4fb4-8f34-7e764b63d3e3{ip: 23.118.95.21, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,713 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a18721d2-a240-47e9-9f9c-a84bf293da65, Nodes: c017953a-af5b-4b09-90aa-7c42073e76c8{ip: 242.219.240.246, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,714 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 515040b2-82d8-4576-bf5d-7f08da8308ef, Nodes: 1ed5bded-1b02-4eee-bc5d-d7dc72de9fa9{ip: 175.222.180.146, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,715 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2bf86ccc-01b3-4707-a2d7-37c8756b3e0d, Nodes: 1ed5bded-1b02-4eee-bc5d-d7dc72de9fa9{ip: 175.222.180.146, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,715 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 08ee02f8-8cf2-4313-9f9b-8adba32ccadb, Nodes: ee103dc9-b751-45aa-9a27-5ab8cc88865a{ip: 150.206.175.169, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,716 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4a327bcd-0983-4a80-a774-e2637ceb2239, Nodes: 82fb38e9-2348-48e8-99a6-dfcb32af0cb4{ip: 123.78.10.250, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,717 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1ff93803-abcf-4c6a-be85-2e47fd45137f, Nodes: 6b462976-010f-417e-be0f-3e25ac8a6d2e{ip: 188.7.55.233, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,718 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8d6e31a6-1996-4639-995a-58d3aedd3a31, Nodes: 1ed5bded-1b02-4eee-bc5d-d7dc72de9fa9{ip: 175.222.180.146, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,719 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c6bc11cd-3f61-4aaa-8ec7-e530b08ba9dc, Nodes: f63e2fd8-421b-42d3-97e5-916e2e170d29{ip: 194.166.6.83, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,719 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 09a1a73d-8afe-4589-8010-81685ac8b678, Nodes: c017953a-af5b-4b09-90aa-7c42073e76c8{ip: 242.219.240.246, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,720 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 328f2205-c5be-4702-94f2-cff47e8a25a3, Nodes: f63e2fd8-421b-42d3-97e5-916e2e170d29{ip: 194.166.6.83, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,720 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e74580fa-89e0-4b7b-8c6c-dd9633c23bf7, Nodes: ee103dc9-b751-45aa-9a27-5ab8cc88865a{ip: 150.206.175.169, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,721 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1c02b6cb-b6d3-465a-b0a9-6528e0ce6129, Nodes: 82fb38e9-2348-48e8-99a6-dfcb32af0cb4{ip: 123.78.10.250, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,721 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f54fa9a3-2a08-47c1-9ae5-1f7c4de12b6b, Nodes: 1ed5bded-1b02-4eee-bc5d-d7dc72de9fa9{ip: 175.222.180.146, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
