2019-06-18 12:00:34,769 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-18 12:00:35,003 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-18 12:00:35,005 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-18 12:00:35,156 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: db990620-3b20-4180-a57b-263678b1cad8, Nodes: 1d0a8c38-6bde-4146-b31e-ec8799376905{ip: 254.145.104.186, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 12:00:35,390 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4c4bef74-8ed8-4d0b-8f80-86a19a746de9, Nodes: 1d0a8c38-6bde-4146-b31e-ec8799376905{ip: 254.145.104.186, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 12:00:35,391 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3af675be-954d-4737-b71d-74b8c1461127, Nodes: 1d0a8c38-6bde-4146-b31e-ec8799376905{ip: 254.145.104.186, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 12:00:35,393 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5a4bbf69-48d1-49aa-8467-93ade8df9c51, Nodes: 115b7fde-f70b-463d-b2ae-5c6a87205886{ip: 120.200.1.216, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 12:00:35,409 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b9bac0bf-2aaf-4981-b714-dd0ea1d0f019, Nodes: 1d0a8c38-6bde-4146-b31e-ec8799376905{ip: 254.145.104.186, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 12:00:35,410 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 607bfba1-af40-4a2d-a87c-8907c68ef37d, Nodes: 88a92a11-3a3f-4387-9486-3c40bb6e8bdf{ip: 18.201.85.246, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 12:00:35,412 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2aeeb4e0-18c2-4605-8322-0baa5d2fd44c, Nodes: ed2af49d-6827-4fac-8e7a-c95ca91292a7{ip: 117.121.40.137, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 12:00:35,413 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5a1cda43-7624-474f-84f1-cff36a2c8dea, Nodes: 0cbac55c-cf5b-47c3-8fc8-3f527024feb7{ip: 2.163.87.46, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 12:00:35,416 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cdadf4d2-624a-4ed0-a1c2-2886c42d13b6, Nodes: 3f8ba321-3cc5-4bfb-9809-abee2530cbbd{ip: 247.201.157.204, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 12:00:35,417 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 249623f8-6cf4-4a1e-9cbe-02062d369202, Nodes: ed2af49d-6827-4fac-8e7a-c95ca91292a7{ip: 117.121.40.137, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 12:00:35,418 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 389015ec-8da6-4a0f-8071-1dcc675d0798, Nodes: 3f8ba321-3cc5-4bfb-9809-abee2530cbbd{ip: 247.201.157.204, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
