2019-06-17 07:19:48,277 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 07:19:48,434 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-17 07:19:48,435 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 07:19:48,528 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a4ce95a1-4e38-46da-bcc8-d1dd7a626686, Nodes: af4ccd41-f3f8-4db6-bb1c-de327ff18da2{ip: 148.195.245.156, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 07:19:48,717 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2b95f2e9-1fdd-41f1-b27e-e7643bead7af, Nodes: c1bf1494-d8b7-404c-b380-fd1176d767c7{ip: 178.80.70.98, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 07:19:48,733 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4a1e6dfe-d839-4f47-9869-3449c377bb3c, Nodes: 80f6b7e3-bc80-49ee-a837-f05b01bc10f3{ip: 99.235.77.35, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 07:19:48,734 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4c7fb6ba-9058-438a-a8ff-34ecbfda95fb, Nodes: 1e05d6cc-e0a6-4a5a-bfff-0ed223263292{ip: 8.56.130.93, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 07:19:48,735 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6ad1ffe3-5e1a-4559-bf73-68451f825e38, Nodes: 826aef48-e34b-4e99-be7f-b2a5dd956fa7{ip: 176.201.68.99, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 07:19:48,738 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0e1894cb-24b4-46be-8849-e8d17ab605c8, Nodes: 1a54014b-652b-4c89-9e62-27c57d12ca04{ip: 46.52.206.183, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 07:19:48,740 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4854d3fa-8b03-48eb-9fd0-e533fdda7f88, Nodes: c1bf1494-d8b7-404c-b380-fd1176d767c7{ip: 178.80.70.98, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 07:19:48,741 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5787c1c4-cabf-41d0-8d25-edc56a12a53e, Nodes: 826aef48-e34b-4e99-be7f-b2a5dd956fa7{ip: 176.201.68.99, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 07:19:48,742 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8735f785-ad16-4119-9d87-c1a3b8ae0b9b, Nodes: af4ccd41-f3f8-4db6-bb1c-de327ff18da2{ip: 148.195.245.156, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 07:19:48,742 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a429103b-c4d3-47eb-ba9b-7b49bb86a1cb, Nodes: c1bf1494-d8b7-404c-b380-fd1176d767c7{ip: 178.80.70.98, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 07:19:48,743 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: accf7227-f38e-49d6-9bcf-86685bdb6942, Nodes: 9d2e5de3-2cbd-49f9-b9b3-76c11ceb3df6{ip: 129.135.7.117, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
