2019-06-18 10:26:28,469 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 10:26:28,477 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 0 containers.
2019-06-18 10:26:28,928 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #4772104619484992512 is under replicated. Expected replica count is 3, but found 2.
2019-06-18 10:26:28,928 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #4772104619484992512 to datanode 115e1d47-efaa-454a-8bdc-1de3e9e8a923{ip: 241.66.85.130, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-18 10:26:28,950 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 52 milliseconds for processing 1 containers.
2019-06-18 10:26:29,007 INFO  container.ReplicationManager (ReplicationManager.java:sendDeleteCommand(675)) - Sending delete container command for container #4772104619484992512 to datanode eb606c9f-332b-47ba-b037-b77d03753024{ip: 70.10.135.66, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-18 10:26:29,009 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 9 milliseconds for processing 1 containers.
2019-06-18 10:26:29,105 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #4772104619484992512 is under replicated. Expected replica count is 3, but found 2.
2019-06-18 10:26:29,105 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #4772104619484992512 to datanode 68862f67-32b0-47cc-bc6d-9977a2ab94cb{ip: 76.29.202.87, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-18 10:26:29,105 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 3 milliseconds for processing 1 containers.
2019-06-18 10:26:29,203 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-18 10:26:29,239 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 10:26:29,240 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-18 10:26:29,341 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 1 containers.
