2019-06-17 05:42:54,122 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 05:42:54,128 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 0 containers.
2019-06-17 05:42:54,530 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #840584131751511040 is under replicated. Expected replica count is 3, but found 2.
2019-06-17 05:42:54,531 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #840584131751511040 to datanode ab8c7fbd-5343-4403-94f2-3c7b0527a3a3{ip: 241.66.85.130, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 05:42:54,538 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 33 milliseconds for processing 1 containers.
2019-06-17 05:42:54,612 INFO  container.ReplicationManager (ReplicationManager.java:sendDeleteCommand(675)) - Sending delete container command for container #840584131751511040 to datanode 08166b28-6bc2-47b4-ba46-7d8284b4d414{ip: 134.92.236.132, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 05:42:54,614 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 7 milliseconds for processing 1 containers.
2019-06-17 05:42:54,710 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #840584131751511040 is under replicated. Expected replica count is 3, but found 2.
2019-06-17 05:42:54,710 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #840584131751511040 to datanode 5255d439-a0c7-42db-b426-3ffa92915102{ip: 76.29.202.87, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 05:42:54,711 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 1 containers.
2019-06-17 05:42:54,809 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-17 05:42:54,837 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 05:42:54,838 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-17 05:42:54,939 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-17 05:42:55,038 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-17 05:42:55,058 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 05:42:55,060 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-17 05:42:55,163 INFO  container.ReplicationManager (ReplicationManager.java:forceCloseContainer(446)) - Force closing container #4103849097199145984 with BCSID 10000, which is in QUASI_CLOSED state.
2019-06-17 05:42:55,164 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #4103849097199145984 to datanode 7eff9b04-b28f-40fc-b1f2-3d1eceb591c5{ip: 181.239.171.238, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 05:42:55,166 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #4103849097199145984 to datanode 674b777c-5597-4d79-be33-cba60344b983{ip: 181.123.124.176, host: localhost, networkLocation: /default-rack, certSerialId: null}.
