2019-06-17 20:02:53,952 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 20:02:54,204 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-17 20:02:54,206 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 20:02:54,342 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 00b421b6-e083-4b31-a331-61a9b7a09738, Nodes: b3e1d455-215b-49c6-8903-ce6f8e9e2444{ip: 41.236.151.203, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 20:02:54,591 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0604fab8-233f-4308-a7c5-515a377d34dc, Nodes: 1f939da1-9f96-4409-85dd-40a48fc7f99b{ip: 123.107.205.110, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 20:02:54,618 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: de271712-aab9-4981-9a76-4b108c28e9e2, Nodes: 8f1650d4-311a-45c4-91ad-a72adfcdfc27{ip: 17.66.102.149, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 20:02:54,620 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 980bb4d8-3996-4929-976d-f38d1d314c75, Nodes: abe1b39b-0dfe-40f2-9dc0-0d45644d5bdf{ip: 145.97.197.101, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 20:02:54,628 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0b0e0db4-e697-4106-b553-7da9e8f8c09f, Nodes: 1f939da1-9f96-4409-85dd-40a48fc7f99b{ip: 123.107.205.110, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 20:02:54,629 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: af96d05a-2781-4be2-acf8-31de6ad4c6a1, Nodes: dcfa7ea1-b201-485a-b4db-3fa123a5d9ea{ip: 169.246.174.29, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 20:02:54,634 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ff8aa6c3-054d-42af-b095-4852ef724ddb, Nodes: eba09d05-afef-4915-a7f5-79de109d8d76{ip: 12.58.242.230, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 20:02:54,635 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ad9239f3-7538-428b-bacd-ae5283d6f1ae, Nodes: 16cbb5ea-78bd-4b3b-9bee-018720fc7830{ip: 225.175.66.88, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 20:02:54,638 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fb065046-328a-445d-a56a-5d035d62a9b1, Nodes: 9487089d-aa62-45c6-8351-ea00660ea931{ip: 192.70.210.101, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 20:02:54,639 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2c120869-5f66-4327-8e67-27dabff01fa8, Nodes: abe1b39b-0dfe-40f2-9dc0-0d45644d5bdf{ip: 145.97.197.101, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 20:02:54,639 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 737f4727-102d-4eab-9dcb-40a27606710b, Nodes: eba09d05-afef-4915-a7f5-79de109d8d76{ip: 12.58.242.230, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
