2019-06-17 05:18:56,824 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 05:18:57,016 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-17 05:18:57,017 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 05:18:57,110 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7e5d031e-033a-4abf-99a7-48dcab37f0ab, Nodes: 0a7418d9-8c04-490e-bc20-5d6cac792718{ip: 152.15.164.22, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:18:57,303 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 95dffc94-8c33-4252-8a53-81173c9b5b8d, Nodes: 5e0e557d-f226-4eca-a5d8-5bc85d23d3f2{ip: 91.171.57.136, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:18:57,304 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5d5b5f22-079c-416f-b5eb-672a99863ce5, Nodes: c269e28b-65c0-4dcc-904e-a76a4389a89e{ip: 134.24.141.164, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:18:57,306 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2aa9816a-264c-4c16-947e-52cbf5209ade, Nodes: 2a45af83-4f55-46f5-b0da-033c3112867d{ip: 139.152.51.252, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:18:57,307 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c43c2023-d2b5-425b-a267-b122684612f8, Nodes: 5e0e557d-f226-4eca-a5d8-5bc85d23d3f2{ip: 91.171.57.136, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:18:57,308 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fffb7961-beb7-422c-8202-9f93553a7262, Nodes: 0a3435c6-2885-4dc5-92af-e55a72902131{ip: 126.133.129.135, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:18:57,309 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 56e0c3c4-050c-4bbe-b0ad-ed7d334aa8ce, Nodes: 0a3435c6-2885-4dc5-92af-e55a72902131{ip: 126.133.129.135, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:18:57,310 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 67ef9ed0-4e3c-43b5-af6c-e982c8decd31, Nodes: 5e0e557d-f226-4eca-a5d8-5bc85d23d3f2{ip: 91.171.57.136, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:18:57,311 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ef45cc46-4e6c-4f6d-ab63-b1c02e7cb615, Nodes: e5670c5c-e58e-467f-b5f9-d0258de32ada{ip: 113.223.82.173, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:18:57,311 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1013c89a-04c4-4b6b-85d4-6cb977db14a1, Nodes: e5670c5c-e58e-467f-b5f9-d0258de32ada{ip: 113.223.82.173, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:18:57,312 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2d7b6063-a36e-4716-927a-fea6c72e43f6, Nodes: 0a7418d9-8c04-490e-bc20-5d6cac792718{ip: 152.15.164.22, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
