2019-06-18 08:56:34,928 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-18 08:56:35,130 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-18 08:56:35,131 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-18 08:56:35,232 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 19a16ce5-e9d0-4db7-8b24-446fd9685c27, Nodes: 69024bfc-e3ed-4dfa-9c24-0c0ee1fc26a0{ip: 33.98.206.29, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 08:56:35,448 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 05f18546-6dea-417c-9a70-a2519275eaec, Nodes: 90c1550c-bdb0-4428-aa17-0fce1ad1496b{ip: 80.193.149.28, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 08:56:35,463 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 00feca56-8406-4fad-8ea2-ec2af89b7f78, Nodes: 461dbbaa-b2c2-4824-94a6-177e83e9db09{ip: 128.68.132.68, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 08:56:35,464 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 07d00726-799b-4d0c-b1bd-cfb6083125a5, Nodes: 503a7fd2-83e5-42a6-bf66-1eafeeeddc1d{ip: 248.68.59.195, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 08:56:35,466 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ef7d758b-6a95-4551-b17d-572615a2961f, Nodes: 20f0b767-6ecf-4e40-9d52-2b17156b0019{ip: 39.30.147.151, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 08:56:35,467 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a3868b33-3ffe-4bc9-b90a-49ce93c38bfe, Nodes: 20f0b767-6ecf-4e40-9d52-2b17156b0019{ip: 39.30.147.151, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 08:56:35,468 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7d364325-4432-4fee-bc36-378a3ff1c5a4, Nodes: 461dbbaa-b2c2-4824-94a6-177e83e9db09{ip: 128.68.132.68, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 08:56:35,468 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5f6153c2-5057-42dc-873c-1cc009d721a9, Nodes: 69024bfc-e3ed-4dfa-9c24-0c0ee1fc26a0{ip: 33.98.206.29, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 08:56:35,469 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 43e0c4b1-8e19-45bc-8da0-3cb25e485599, Nodes: 90c1550c-bdb0-4428-aa17-0fce1ad1496b{ip: 80.193.149.28, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 08:56:35,470 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4d1794cb-29be-476b-97ad-3b812127deb3, Nodes: 41ac6248-8c1b-4057-ba74-23fed4b2f82e{ip: 88.68.14.5, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 08:56:35,471 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 476b94eb-7bd1-484c-b0f0-07d10c98444f, Nodes: 20f0b767-6ecf-4e40-9d52-2b17156b0019{ip: 39.30.147.151, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
