2019-06-16 23:28:36,752 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-16 23:28:36,759 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-16 23:28:37,088 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #3555007882080389120 is under replicated. Expected replica count is 3, but found 2.
2019-06-16 23:28:37,088 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #3555007882080389120 to datanode 15dae893-63d3-4edc-b870-1ea29dd384bc{ip: 241.66.85.130, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-16 23:28:37,094 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 30 milliseconds for processing 1 containers.
2019-06-16 23:28:37,171 INFO  container.ReplicationManager (ReplicationManager.java:sendDeleteCommand(675)) - Sending delete container command for container #3555007882080389120 to datanode e80e2ab3-2c27-4504-8546-9a0d1c270961{ip: 189.242.60.95, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-16 23:28:37,174 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 7 milliseconds for processing 1 containers.
2019-06-16 23:28:37,269 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #3555007882080389120 is under replicated. Expected replica count is 3, but found 2.
2019-06-16 23:28:37,269 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #3555007882080389120 to datanode cb8e4abc-3927-4fed-9ce1-6d73d6e6d686{ip: 76.29.202.87, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-16 23:28:37,270 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 1 containers.
2019-06-16 23:28:37,368 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-16 23:28:37,388 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-16 23:28:37,389 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-16 23:28:37,489 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-16 23:28:37,594 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-16 23:28:37,610 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-16 23:28:37,611 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-16 23:28:37,714 INFO  container.ReplicationManager (ReplicationManager.java:forceCloseContainer(446)) - Force closing container #202504322986894336 with BCSID 10000, which is in QUASI_CLOSED state.
2019-06-16 23:28:37,715 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #202504322986894336 to datanode d0da170e-51b7-4170-8dff-5a189dba55b8{ip: 189.44.150.160, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-16 23:28:37,716 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #202504322986894336 to datanode 2d16d5ef-7c74-4a4d-981f-246ebf7545aa{ip: 90.219.134.195, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-16 23:28:37,716 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #202504322986894336 to datanode 3b5c6767-dde1-4b5b-af91-15e974af371d{ip: 81.109.25.240, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-16 23:28:37,716 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 5 milliseconds for processing 1 containers.
2019-06-16 23:28:37,812 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-16 23:28:37,828 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-16 23:28:37,829 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-16 23:28:37,929 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #7342185924397307904 to datanode ab33a846-e1c3-462d-88d8-62b987f80070{ip: 39.197.94.73, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-16 23:28:37,930 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #7342185924397307904 to datanode 50713431-f275-4780-9e89-6ff0eed8d9f2{ip: 7.174.196.18, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-16 23:28:37,930 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #7342185924397307904 to datanode 4c04e472-b0c3-47da-9437-c6b8ed8015db{ip: 182.188.18.79, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-16 23:28:37,930 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 1 containers.
2019-06-16 23:28:38,029 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #7342185924397307904 to datanode ab33a846-e1c3-462d-88d8-62b987f80070{ip: 39.197.94.73, host: localhost, networkLocation: /default-rack, certSerialId: null}.
