2019-06-16 20:15:42,024 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-16 20:15:42,031 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 0 containers.
2019-06-16 20:15:42,389 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #6846398022311586816 is under replicated. Expected replica count is 3, but found 2.
2019-06-16 20:15:42,389 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #6846398022311586816 to datanode 9459ccad-b92b-40ff-8625-214d57d374a7{ip: 241.66.85.130, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-16 20:15:42,396 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 31 milliseconds for processing 1 containers.
2019-06-16 20:15:42,471 INFO  container.ReplicationManager (ReplicationManager.java:sendDeleteCommand(675)) - Sending delete container command for container #6846398022311586816 to datanode 98f03574-65a9-430c-8304-0ba86f39679b{ip: 3.88.101.253, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-16 20:15:42,473 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 7 milliseconds for processing 1 containers.
2019-06-16 20:15:42,569 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #6846398022311586816 is under replicated. Expected replica count is 3, but found 2.
2019-06-16 20:15:42,569 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #6846398022311586816 to datanode 4edd5f1d-5a72-4f59-85ed-9a2ee02bae71{ip: 76.29.202.87, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-16 20:15:42,569 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 1 containers.
2019-06-16 20:15:42,668 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-16 20:15:42,697 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-16 20:15:42,698 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-16 20:15:42,798 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-16 20:15:42,898 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-16 20:15:42,917 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-16 20:15:42,919 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-16 20:15:43,022 INFO  container.ReplicationManager (ReplicationManager.java:forceCloseContainer(446)) - Force closing container #2284842203224408064 with BCSID 10000, which is in QUASI_CLOSED state.
2019-06-16 20:15:43,023 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #2284842203224408064 to datanode 6f0f1b79-0d37-47ef-b56f-46f09913abab{ip: 89.138.115.207, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-16 20:15:43,025 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #2284842203224408064 to datanode 59bf5bed-cce4-4fbe-8c53-3741a2874fe9{ip: 201.64.29.167, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-16 20:15:43,025 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #2284842203224408064 to datanode 1c057761-9a33-43a8-9e7d-db3b00f51775{ip: 160.68.50.192, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-16 20:15:43,025 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 5 milliseconds for processing 1 containers.
2019-06-16 20:15:43,120 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-16 20:15:43,135 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-16 20:15:43,136 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-16 20:15:43,236 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #2325032963997424640 to datanode 94ee0e48-f546-4a86-b30c-a4bc17e75d7b{ip: 174.135.126.192, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-16 20:15:43,237 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #2325032963997424640 to datanode 18626e9a-74a9-4b1a-98a6-e90b94dd6d2b{ip: 153.41.122.86, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-16 20:15:43,237 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #2325032963997424640 to datanode 472297f2-9b91-4702-b187-fc3766610ff2{ip: 87.230.114.202, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-16 20:15:43,237 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-16 20:15:43,336 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #2325032963997424640 to datanode 94ee0e48-f546-4a86-b30c-a4bc17e75d7b{ip: 174.135.126.192, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-16 20:15:43,336 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #2325032963997424640 to datanode 18626e9a-74a9-4b1a-98a6-e90b94dd6d2b{ip: 153.41.122.86, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-16 20:15:43,337 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #2325032963997424640 to datanode 472297f2-9b91-4702-b187-fc3766610ff2{ip: 87.230.114.202, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-16 20:15:43,337 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
