2019-06-16 21:52:17,325 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-16 21:52:17,499 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-16 21:52:17,500 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-16 21:52:17,587 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 407a695f-7345-4c28-b9ed-ce2150060a04, Nodes: dfc542ab-0665-4ff9-8094-9ad94bd94413{ip: 15.159.240.51, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,762 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9befe95a-16ab-4a4c-8de0-c30ddc6934c8, Nodes: 062023ab-15a1-4eae-b1ca-c95bcc80b1d8{ip: 190.246.16.7, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,782 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 50e376ba-71ea-42f9-b3ee-d12cbe2622cf, Nodes: 7977cf01-0545-4394-9511-92745e0463f4{ip: 128.92.77.185, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,783 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: df8f7ba2-0165-4902-ad90-ce1c80b0e70e, Nodes: 7977cf01-0545-4394-9511-92745e0463f4{ip: 128.92.77.185, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,784 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 02224b19-4b9a-4f4e-a097-9d7def16a713, Nodes: dc4714ca-190d-4f0a-a0c5-ffea9d2317fd{ip: 250.95.120.45, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,785 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e9ccc6c2-5188-4522-a992-70a42bc06cbf, Nodes: 062023ab-15a1-4eae-b1ca-c95bcc80b1d8{ip: 190.246.16.7, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,786 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d069893c-987f-4546-9fde-c1bb5e0c8812, Nodes: 91738029-9168-4405-9574-aa9af5b6e626{ip: 220.17.169.83, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,786 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2c034393-d910-4961-a5fa-39329f212486, Nodes: 091469af-6288-476f-9f08-88964bee8bf4{ip: 90.222.166.136, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,787 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6088f1b9-47e1-47fd-a200-24c6b75fa4c5, Nodes: dfc542ab-0665-4ff9-8094-9ad94bd94413{ip: 15.159.240.51, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,787 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6df86d04-f82f-4bb5-83fc-d4ca5a02a5f0, Nodes: 967da270-c39f-4b77-8aa2-131cdf9b79cb{ip: 93.231.66.70, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,788 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e2dedc48-9d9c-4583-9e9b-e4b23923bf06, Nodes: 062023ab-15a1-4eae-b1ca-c95bcc80b1d8{ip: 190.246.16.7, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,789 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 551217b8-378f-4ab4-bac8-b05151fd4064, Nodes: dc4714ca-190d-4f0a-a0c5-ffea9d2317fd{ip: 250.95.120.45, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,789 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c55612b3-ece6-445a-b511-7ba6dd3334ed, Nodes: 062023ab-15a1-4eae-b1ca-c95bcc80b1d8{ip: 190.246.16.7, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,791 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 75bb6974-0ac3-427b-be19-fe13d6454255, Nodes: dfc542ab-0665-4ff9-8094-9ad94bd94413{ip: 15.159.240.51, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,791 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8ffec4b4-3b2a-4aed-ba8b-012141080054, Nodes: 91738029-9168-4405-9574-aa9af5b6e626{ip: 220.17.169.83, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,792 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 964608f1-7cef-4148-a749-052b950ff62f, Nodes: 7977cf01-0545-4394-9511-92745e0463f4{ip: 128.92.77.185, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,793 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c835ef64-c004-4015-838a-32b67a1a0362, Nodes: 062023ab-15a1-4eae-b1ca-c95bcc80b1d8{ip: 190.246.16.7, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,793 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 37574e3e-5ede-4900-8621-a04ea5a724e0, Nodes: dc4714ca-190d-4f0a-a0c5-ffea9d2317fd{ip: 250.95.120.45, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,794 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 10d06666-8e32-4600-a419-727091d3545c, Nodes: 7977cf01-0545-4394-9511-92745e0463f4{ip: 128.92.77.185, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,794 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 010cdc1c-8745-41ca-aa9d-2b2dbe0db2e5, Nodes: cd8fd793-44ad-445e-9d6a-5d62142545bd{ip: 57.142.57.166, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,795 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7b4b6900-1f57-4e8d-918c-4c38bf7d0ac5, Nodes: 091469af-6288-476f-9f08-88964bee8bf4{ip: 90.222.166.136, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,796 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ccc1b71a-b91d-4c3f-9a21-780ae4bc4358, Nodes: 062023ab-15a1-4eae-b1ca-c95bcc80b1d8{ip: 190.246.16.7, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
