2019-06-18 01:30:41,995 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 01:30:42,001 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 0 containers.
2019-06-18 01:30:42,350 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #2606089502396171264 is under replicated. Expected replica count is 3, but found 2.
2019-06-18 01:30:42,351 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #2606089502396171264 to datanode 8b7350ab-7f54-4d8b-afb1-26ab31bfcd47{ip: 241.66.85.130, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-18 01:30:42,356 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 27 milliseconds for processing 1 containers.
2019-06-18 01:30:42,435 INFO  container.ReplicationManager (ReplicationManager.java:sendDeleteCommand(675)) - Sending delete container command for container #2606089502396171264 to datanode cab3e656-42bd-472a-865a-0bd94829576b{ip: 150.16.206.27, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-18 01:30:42,437 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 5 milliseconds for processing 1 containers.
2019-06-18 01:30:42,534 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #2606089502396171264 is under replicated. Expected replica count is 3, but found 2.
2019-06-18 01:30:42,534 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #2606089502396171264 to datanode cb806340-4496-4d0d-9ae0-a610935d2e10{ip: 76.29.202.87, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-18 01:30:42,534 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 1 containers.
2019-06-18 01:30:42,632 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-18 01:30:42,661 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 01:30:42,662 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-18 01:30:42,762 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 1 containers.
2019-06-18 01:30:42,862 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-18 01:30:42,876 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 01:30:42,877 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-18 01:30:42,980 INFO  container.ReplicationManager (ReplicationManager.java:forceCloseContainer(446)) - Force closing container #8532890005757741056 with BCSID 10000, which is in QUASI_CLOSED state.
2019-06-18 01:30:42,981 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #8532890005757741056 to datanode e25d12e0-a808-4288-8843-d38f430f5561{ip: 175.33.37.160, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 01:30:42,982 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #8532890005757741056 to datanode a3371d63-0b79-4553-afa3-c4aa60397960{ip: 183.191.74.13, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 01:30:42,983 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #8532890005757741056 to datanode 6212460a-8588-43bb-8134-b34fbe08356a{ip: 131.186.65.173, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 01:30:42,983 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 6 milliseconds for processing 1 containers.
2019-06-18 01:30:43,078 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
