2019-06-18 03:20:47,169 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-18 03:20:47,425 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-18 03:20:47,426 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-18 03:20:47,577 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 67e9769b-8613-4fca-ab6d-974be7a22b97, Nodes: 093403ce-adb0-49f4-bf81-babfc4922078{ip: 128.243.66.13, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,852 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0de004cf-2659-43df-b569-055619c209c8, Nodes: a819d27e-52f3-4187-8e2a-3d473d95db98{ip: 168.82.144.165, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,853 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 314279dc-0ada-449c-848d-35cf39b390e9, Nodes: 48702793-a568-4b3f-9ee8-b0482bef496e{ip: 241.211.32.196, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,897 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a6a82bee-4413-4449-8c7d-1f45f82b1411, Nodes: 955b9640-83a5-486b-8e31-d56cc82d12f5{ip: 244.93.41.217, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,900 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2191fc89-a990-4f57-baed-c39923e9bc1d, Nodes: ba7cd9a8-98fa-4f13-abd4-a736a8639c3f{ip: 61.124.70.124, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,901 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: bda17ac5-4a30-468a-89e7-3236564224aa, Nodes: 48702793-a568-4b3f-9ee8-b0482bef496e{ip: 241.211.32.196, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,902 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: db1b48cb-9fcc-4148-bc5d-8f0f57ee1c12, Nodes: 093403ce-adb0-49f4-bf81-babfc4922078{ip: 128.243.66.13, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,905 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 14e85056-1bea-4cd8-87aa-c049c9cb1ac7, Nodes: 955b9640-83a5-486b-8e31-d56cc82d12f5{ip: 244.93.41.217, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,906 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9bb78ba1-32ad-44c7-8037-b3141651df0f, Nodes: ba7cd9a8-98fa-4f13-abd4-a736a8639c3f{ip: 61.124.70.124, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,906 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8c52fb91-c575-4dbe-bafc-99d9c51c0904, Nodes: 0da88f99-7e6d-46b7-aa43-98093646545d{ip: 174.52.247.139, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,907 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 66c98b3e-c0c5-4312-8fe9-b8b17767c80b, Nodes: 0da88f99-7e6d-46b7-aa43-98093646545d{ip: 174.52.247.139, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,908 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a8fd250c-4b21-4e65-bdc6-ff32f2db77dd, Nodes: a819d27e-52f3-4187-8e2a-3d473d95db98{ip: 168.82.144.165, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,909 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 905c15b2-9bf3-49ae-bebf-dd7a7d000d48, Nodes: 093403ce-adb0-49f4-bf81-babfc4922078{ip: 128.243.66.13, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,911 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f7263f20-e402-4755-8ae2-77a70e933c03, Nodes: a819d27e-52f3-4187-8e2a-3d473d95db98{ip: 168.82.144.165, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,912 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ecdf5e28-fbd2-49dd-825f-a8c72d78b599, Nodes: 48702793-a568-4b3f-9ee8-b0482bef496e{ip: 241.211.32.196, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,913 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3c32aab4-1183-4bc7-9a06-b463edd3d7d3, Nodes: fbbf305a-0107-4023-87f8-65a1ea6291ef{ip: 149.119.248.136, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,914 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8a396c86-5ec0-439f-ba7d-f874c19a71c0, Nodes: ba7cd9a8-98fa-4f13-abd4-a736a8639c3f{ip: 61.124.70.124, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,914 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 090f9b4f-8037-4f3a-8df9-40ae793819d2, Nodes: 955b9640-83a5-486b-8e31-d56cc82d12f5{ip: 244.93.41.217, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,915 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: aee97985-9d33-47b3-8d8e-d99dbf08c041, Nodes: 13fd7cf9-0123-427f-837c-69b6aef56109{ip: 165.150.11.99, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,916 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ebe66223-d3ae-46be-8d33-834388151c9d, Nodes: 093403ce-adb0-49f4-bf81-babfc4922078{ip: 128.243.66.13, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,917 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d07356f1-a921-4054-bdbb-5e9e8e95b65d, Nodes: 13fd7cf9-0123-427f-837c-69b6aef56109{ip: 165.150.11.99, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,919 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5f26757e-0bb6-42ed-9fe7-3d0be8fa2f7e, Nodes: 955b9640-83a5-486b-8e31-d56cc82d12f5{ip: 244.93.41.217, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,921 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e6a0062a-1c65-46ee-8089-1ecb519771bd, Nodes: fbbf305a-0107-4023-87f8-65a1ea6291ef{ip: 149.119.248.136, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,922 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 55b163f0-e312-4895-9a15-f4d648909430, Nodes: 955b9640-83a5-486b-8e31-d56cc82d12f5{ip: 244.93.41.217, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,923 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ccd21086-52e9-42d5-91c8-313966250947, Nodes: fbbf305a-0107-4023-87f8-65a1ea6291ef{ip: 149.119.248.136, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,924 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: dc51efd2-081b-4250-a3b8-5964159375cf, Nodes: ba7cd9a8-98fa-4f13-abd4-a736a8639c3f{ip: 61.124.70.124, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,924 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 46650be6-407d-4cb2-ba24-02b635414912, Nodes: 13fd7cf9-0123-427f-837c-69b6aef56109{ip: 165.150.11.99, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,925 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 436b7a4f-933f-453c-b6fd-69cb7d5ab1a5, Nodes: 093403ce-adb0-49f4-bf81-babfc4922078{ip: 128.243.66.13, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,926 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f0bf373a-aa75-454f-943c-7305412290f2, Nodes: 955b9640-83a5-486b-8e31-d56cc82d12f5{ip: 244.93.41.217, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,927 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f76732ed-1584-428a-b616-01fe4eb9597a, Nodes: ba7cd9a8-98fa-4f13-abd4-a736a8639c3f{ip: 61.124.70.124, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,928 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d3337960-63ce-4a34-bce4-55147247d910, Nodes: 0da88f99-7e6d-46b7-aa43-98093646545d{ip: 174.52.247.139, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,928 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8d078ec0-5d6c-46d8-a693-9c70ca2a61c0, Nodes: ba7cd9a8-98fa-4f13-abd4-a736a8639c3f{ip: 61.124.70.124, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,929 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 93cb84d3-26f8-40fc-920c-9edeba0b2638, Nodes: ba7cd9a8-98fa-4f13-abd4-a736a8639c3f{ip: 61.124.70.124, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,930 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: bd5530f3-28ac-4b85-9f5b-1058aea38ab2, Nodes: 13fd7cf9-0123-427f-837c-69b6aef56109{ip: 165.150.11.99, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,931 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9b82b875-d73a-4cf3-95ae-c1609eee136c, Nodes: 13fd7cf9-0123-427f-837c-69b6aef56109{ip: 165.150.11.99, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,931 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f16fcd08-ee03-405b-9e7e-4b71ae187ba2, Nodes: a819d27e-52f3-4187-8e2a-3d473d95db98{ip: 168.82.144.165, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,932 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 006e98d3-8f8e-4b8f-af75-70951fe22293, Nodes: 0da88f99-7e6d-46b7-aa43-98093646545d{ip: 174.52.247.139, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
