2019-06-18 07:08:25,383 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 07:08:25,392 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 3 milliseconds for processing 0 containers.
2019-06-18 07:08:25,865 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #5103421441578405888 is under replicated. Expected replica count is 3, but found 2.
2019-06-18 07:08:25,865 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #5103421441578405888 to datanode 61f79b52-b777-4e5b-bc29-8d41deaa0189{ip: 241.66.85.130, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-18 07:08:25,874 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 56 milliseconds for processing 1 containers.
2019-06-18 07:08:25,929 INFO  container.ReplicationManager (ReplicationManager.java:sendDeleteCommand(675)) - Sending delete container command for container #5103421441578405888 to datanode 1b0f5ae6-7212-47ba-8c18-d33b941794b3{ip: 48.249.182.129, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-18 07:08:25,931 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 10 milliseconds for processing 1 containers.
2019-06-18 07:08:26,025 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #5103421441578405888 is under replicated. Expected replica count is 3, but found 2.
2019-06-18 07:08:26,025 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #5103421441578405888 to datanode 0d609662-438d-41ae-8267-720908329ea7{ip: 76.29.202.87, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-18 07:08:26,025 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 1 containers.
2019-06-18 07:08:26,123 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-18 07:08:26,158 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 07:08:26,159 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-18 07:08:26,260 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-18 07:08:26,359 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-18 07:08:26,383 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 07:08:26,386 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-18 07:08:26,490 INFO  container.ReplicationManager (ReplicationManager.java:forceCloseContainer(446)) - Force closing container #3896019621073161216 with BCSID 10000, which is in QUASI_CLOSED state.
2019-06-18 07:08:26,492 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #3896019621073161216 to datanode 038a1748-52e7-4472-8d6f-312d5a649375{ip: 178.26.127.163, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 07:08:26,494 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #3896019621073161216 to datanode 9b6f8b48-d2d6-4f5c-a91a-41262c0b1b9d{ip: 137.176.159.230, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 07:08:26,494 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #3896019621073161216 to datanode 3559a4ba-99eb-4d8c-a09b-341953f4eaa5{ip: 222.102.235.234, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 07:08:26,494 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 8 milliseconds for processing 1 containers.
2019-06-18 07:08:26,586 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-18 07:08:26,609 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 07:08:26,610 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-18 07:08:26,711 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #2057027102067376128 to datanode 1cd760ca-3e38-4571-a93c-38ec927cfeb5{ip: 207.32.63.62, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 07:08:26,712 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #2057027102067376128 to datanode 83d71bf8-463d-4a6c-aaca-cd2a2ae1274d{ip: 17.239.222.131, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 07:08:26,712 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #2057027102067376128 to datanode 49804033-1e43-4b23-827f-cd2adb9f156a{ip: 116.131.6.158, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 07:08:26,713 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 3 milliseconds for processing 1 containers.
2019-06-18 07:08:26,811 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #2057027102067376128 to datanode 1cd760ca-3e38-4571-a93c-38ec927cfeb5{ip: 207.32.63.62, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 07:08:26,811 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #2057027102067376128 to datanode 83d71bf8-463d-4a6c-aaca-cd2a2ae1274d{ip: 17.239.222.131, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 07:08:26,811 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #2057027102067376128 to datanode 49804033-1e43-4b23-827f-cd2adb9f156a{ip: 116.131.6.158, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 07:08:26,812 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 1 containers.
2019-06-18 07:08:26,910 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-18 07:08:26,927 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 07:08:26,928 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-18 07:08:27,030 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 1 containers.
2019-06-18 07:08:27,128 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-18 07:08:27,147 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 07:08:27,149 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-18 07:08:27,273 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-18 07:08:27,289 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 07:08:27,290 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-18 07:08:27,391 INFO  container.ReplicationManager (ReplicationManager.java:handleOverReplicatedContainer(525)) - Container #6762874387406488576 is over replicated. Expected replica count is 3, but found 4.
2019-06-18 07:08:27,394 INFO  container.ReplicationManager (ReplicationManager.java:sendDeleteCommand(675)) - Sending delete container command for container #6762874387406488576 to datanode 91e7275c-9b2d-4e58-99d9-13928e894f00{ip: 232.20.230.162, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-18 07:08:27,394 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 4 milliseconds for processing 1 containers.
2019-06-18 07:08:27,491 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-18 07:08:27,507 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 07:08:27,508 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-18 07:08:27,609 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-18 07:08:27,710 INFO  container.ReplicationManager (ReplicationManager.java:sendDeleteCommand(675)) - Sending delete container command for container #9056659049786185728 to datanode a1bc75f8-f1a3-4d2f-99d7-8842b4786c5b{ip: 150.137.33.26, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-18 07:08:27,710 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 1 containers.
2019-06-18 07:08:27,810 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #9056659049786185728 is under replicated. Expected replica count is 3, but found 2.
2019-06-18 07:08:27,810 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #9056659049786185728 to datanode 10459a7c-8732-4766-b086-35c7efc8785d{ip: 241.66.85.130, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-18 07:08:27,811 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 1 containers.
2019-06-18 07:08:27,909 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-18 07:08:27,930 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 07:08:27,930 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-18 07:08:28,031 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #8826020009527073792 to datanode 9edd7dd3-80fa-4e34-a979-fcad0adf7cc4{ip: 36.213.117.116, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 07:08:28,032 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #8826020009527073792 to datanode 20dcb175-4ccf-41a9-add0-7ef793ebcec9{ip: 5.85.79.10, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 07:08:28,032 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-18 07:08:28,131 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-18 07:08:28,149 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 07:08:28,149 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-18 07:08:28,250 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-18 07:08:28,349 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-18 07:08:28,368 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 07:08:28,369 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-18 07:08:28,470 INFO  container.ReplicationManager (ReplicationManager.java:handleOverReplicatedContainer(525)) - Container #3056068269458567168 is over replicated. Expected replica count is 3, but found 4.
2019-06-18 07:08:28,470 INFO  container.ReplicationManager (ReplicationManager.java:sendDeleteCommand(675)) - Sending delete container command for container #3056068269458567168 to datanode 29182fa8-c0c5-4e86-8ca0-2e444599c06e{ip: 208.221.1.86, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-18 07:08:28,471 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 1 containers.
2019-06-18 07:08:28,569 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-18 07:08:28,587 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 07:08:28,588 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-18 07:08:28,689 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #132577045420822528 is under replicated. Expected replica count is 3, but found 2.
2019-06-18 07:08:28,689 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #132577045420822528 to datanode 0759225d-8a50-4b39-804a-e5e361b54992{ip: 241.66.85.130, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-18 07:08:28,690 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 1 containers.
2019-06-18 07:08:28,788 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
