2019-06-18 04:01:24,242 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 04:01:24,250 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 3 milliseconds for processing 0 containers.
2019-06-18 04:01:24,631 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #3437608319566182400 is under replicated. Expected replica count is 3, but found 2.
2019-06-18 04:01:24,631 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #3437608319566182400 to datanode ee6495db-54f6-4296-b722-df73ae24c9ca{ip: 241.66.85.130, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-18 04:01:24,639 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 35 milliseconds for processing 1 containers.
2019-06-18 04:01:24,712 INFO  container.ReplicationManager (ReplicationManager.java:sendDeleteCommand(675)) - Sending delete container command for container #3437608319566182400 to datanode 0c5eba2c-4842-412e-877d-ebaa19e3989b{ip: 11.139.27.145, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-18 04:01:24,714 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 8 milliseconds for processing 1 containers.
2019-06-18 04:01:24,809 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #3437608319566182400 is under replicated. Expected replica count is 3, but found 2.
2019-06-18 04:01:24,809 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #3437608319566182400 to datanode 00760ecb-9517-40d9-9a02-b1ad40ed0c81{ip: 76.29.202.87, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-18 04:01:24,809 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 1 containers.
2019-06-18 04:01:24,908 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-18 04:01:24,938 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 04:01:24,939 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-18 04:01:25,039 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-18 04:01:25,139 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-18 04:01:25,160 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 04:01:25,162 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-18 04:01:25,265 INFO  container.ReplicationManager (ReplicationManager.java:forceCloseContainer(446)) - Force closing container #8105559973899859968 with BCSID 10000, which is in QUASI_CLOSED state.
