2019-06-17 22:25:17,135 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 22:25:17,141 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 3 milliseconds for processing 0 containers.
2019-06-17 22:25:17,500 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #5091828436954493952 is under replicated. Expected replica count is 3, but found 2.
2019-06-17 22:25:17,500 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #5091828436954493952 to datanode 2b81d7f9-cd51-4756-89f1-c8b9da4edbec{ip: 241.66.85.130, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 22:25:17,508 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 34 milliseconds for processing 1 containers.
2019-06-17 22:25:17,582 INFO  container.ReplicationManager (ReplicationManager.java:sendDeleteCommand(675)) - Sending delete container command for container #5091828436954493952 to datanode e1b26ab8-5fe7-49b3-ba95-7fbf39419b2a{ip: 58.179.243.2, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 22:25:17,583 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 6 milliseconds for processing 1 containers.
2019-06-17 22:25:17,680 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #5091828436954493952 is under replicated. Expected replica count is 3, but found 2.
2019-06-17 22:25:17,681 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #5091828436954493952 to datanode 68b16ff9-345c-48b5-b986-56644228bef4{ip: 76.29.202.87, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 22:25:17,681 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 3 milliseconds for processing 1 containers.
2019-06-17 22:25:17,779 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-17 22:25:17,813 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 22:25:17,814 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-17 22:25:17,914 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 1 containers.
2019-06-17 22:25:18,014 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-17 22:25:18,035 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 22:25:18,037 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-17 22:25:18,140 INFO  container.ReplicationManager (ReplicationManager.java:forceCloseContainer(446)) - Force closing container #552270614000368640 with BCSID 10000, which is in QUASI_CLOSED state.
2019-06-17 22:25:18,142 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #552270614000368640 to datanode 68fa639e-1719-4d61-8314-93a9dad50218{ip: 157.117.177.205, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 22:25:18,143 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #552270614000368640 to datanode 50146ea5-263e-4a7b-aec7-0069d61b7e2d{ip: 18.251.246.146, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 22:25:18,144 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #552270614000368640 to datanode 8e4876ae-fdac-4bd3-b371-f56b201199f4{ip: 126.237.198.218, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 22:25:18,144 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 7 milliseconds for processing 1 containers.
2019-06-17 22:25:18,237 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-17 22:25:18,251 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 22:25:18,252 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
