2019-06-17 22:25:28,481 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 22:25:28,686 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-17 22:25:28,687 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 22:25:28,793 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d1a85dfe-448a-4565-abc6-6664f3f881eb, Nodes: d56d84fc-13a8-475c-b379-5f8f6f35c00b{ip: 33.65.77.91, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:25:29,011 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d1ad9477-c5a6-4990-8832-ae36cd88a331, Nodes: 679e1786-304a-44b9-82b3-f9cce58c0a6c{ip: 84.246.64.212, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:25:29,015 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2367fe49-2db4-4ea2-8dc0-976fafb7aafc, Nodes: fd15e835-9012-439a-beb6-ee6ddb82dfa6{ip: 20.65.84.195, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:25:29,031 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ca9609da-188a-442d-a4bf-cd34b645caa9, Nodes: 679e1786-304a-44b9-82b3-f9cce58c0a6c{ip: 84.246.64.212, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:25:29,032 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c234642f-a455-4240-9da5-cda3ac3c9ca9, Nodes: 6d0591ef-364a-421d-a577-87dca9872648{ip: 116.6.231.178, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:25:29,033 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 292b92a2-9935-416d-9301-8ba0455e2514, Nodes: d56d84fc-13a8-475c-b379-5f8f6f35c00b{ip: 33.65.77.91, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:25:29,034 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 826dead6-e92c-42d7-b458-1c6c7ed46530, Nodes: 63469ff6-43f3-45f6-a87a-6e7e5c1426c2{ip: 36.38.107.44, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:25:29,035 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: bbe784b0-9dc5-4a88-820c-71f3a511654b, Nodes: 679e1786-304a-44b9-82b3-f9cce58c0a6c{ip: 84.246.64.212, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:25:29,035 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f4cbc8a7-cd62-4762-a971-1f826b2ae9fa, Nodes: d56d84fc-13a8-475c-b379-5f8f6f35c00b{ip: 33.65.77.91, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:25:29,036 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8b830565-b63b-41aa-b37b-5f91cf64f92d, Nodes: d56d84fc-13a8-475c-b379-5f8f6f35c00b{ip: 33.65.77.91, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:25:29,037 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 296d77e0-93a9-4b69-9f97-48c39f788bb4, Nodes: 679e1786-304a-44b9-82b3-f9cce58c0a6c{ip: 84.246.64.212, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
