2019-06-17 11:50:09,788 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 11:50:09,949 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-17 11:50:09,950 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 11:50:10,041 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7101fbd6-ff9f-4deb-9620-4e8156420b2e, Nodes: 23bde844-7052-40fa-9020-f3cb97d2b887{ip: 90.29.173.195, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:50:10,229 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3e262b7c-1b05-4642-96c4-443c69b05fda, Nodes: 09a0c046-ab11-4dda-a730-196fff98a759{ip: 28.147.105.14, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:50:10,245 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 00e90854-51eb-4aa5-bbea-2f491875fe72, Nodes: e0e9b685-7908-42d5-bc89-f2b7ad5ad55d{ip: 98.237.191.235, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:50:10,248 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4d8ee521-ccfd-48b3-9a0e-f39ff8f4332a, Nodes: 9b39e15d-7926-494b-a77a-bbca35138d8f{ip: 208.101.68.62, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:50:10,249 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f1d4dc7d-c07d-44be-939f-8ea78271ba7c, Nodes: e0e9b685-7908-42d5-bc89-f2b7ad5ad55d{ip: 98.237.191.235, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:50:10,250 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 99320dc4-ac25-48af-a8c9-b0c04f161b09, Nodes: 23bde844-7052-40fa-9020-f3cb97d2b887{ip: 90.29.173.195, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:50:10,251 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a1e653c4-f778-4879-9a5c-54f49f36491e, Nodes: 23bde844-7052-40fa-9020-f3cb97d2b887{ip: 90.29.173.195, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:50:10,252 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b35d1a13-b455-49a7-930e-7aa19189b44f, Nodes: 09a0c046-ab11-4dda-a730-196fff98a759{ip: 28.147.105.14, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:50:10,253 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ca3b3db7-56ce-48dd-9536-d049a55ebd0b, Nodes: e0e9b685-7908-42d5-bc89-f2b7ad5ad55d{ip: 98.237.191.235, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:50:10,253 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a035bd9f-3010-4a5e-b27b-52cbd72c7533, Nodes: 9953e32f-ac54-4f26-9516-9066d1626429{ip: 248.239.185.160, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:50:10,254 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d22b6ef0-7ec7-4bf3-b0b1-84289e46e8e5, Nodes: 2d0a5fea-ea22-49cf-89dc-8aa7bccb20f5{ip: 52.237.78.76, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:50:10,255 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9bde2bf8-4c02-4a7b-9a32-501e699e39e0, Nodes: 9953e32f-ac54-4f26-9516-9066d1626429{ip: 248.239.185.160, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:50:10,256 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 48f0ea2c-668a-49a9-8ed2-c4b13e46cdc6, Nodes: 2d0a5fea-ea22-49cf-89dc-8aa7bccb20f5{ip: 52.237.78.76, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
