2019-06-17 12:42:51,428 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 12:42:51,436 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 3 milliseconds for processing 0 containers.
2019-06-17 12:42:51,831 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #6351297976513885184 is under replicated. Expected replica count is 3, but found 2.
2019-06-17 12:42:51,831 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #6351297976513885184 to datanode dd67a53b-69f0-4d04-b5e0-6abc937d1817{ip: 241.66.85.130, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 12:42:51,837 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 27 milliseconds for processing 1 containers.
2019-06-17 12:42:51,917 INFO  container.ReplicationManager (ReplicationManager.java:sendDeleteCommand(675)) - Sending delete container command for container #6351297976513885184 to datanode 1d9f7973-9ddf-4260-8511-aa2db31945fd{ip: 124.43.93.51, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 12:42:51,920 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 8 milliseconds for processing 1 containers.
2019-06-17 12:42:52,015 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #6351297976513885184 is under replicated. Expected replica count is 3, but found 2.
2019-06-17 12:42:52,016 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #6351297976513885184 to datanode 3f129c08-52c2-401e-9a54-98b6cab7a25f{ip: 76.29.202.87, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 12:42:52,016 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 1 containers.
2019-06-17 12:42:52,114 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-17 12:42:52,146 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 12:42:52,147 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-17 12:42:52,248 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-17 12:42:52,347 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-17 12:42:52,367 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 12:42:52,369 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-17 12:42:52,472 INFO  container.ReplicationManager (ReplicationManager.java:forceCloseContainer(446)) - Force closing container #9000417386575462400 with BCSID 10000, which is in QUASI_CLOSED state.
2019-06-17 12:42:52,474 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #9000417386575462400 to datanode bacfeec1-7445-4b4e-8a99-5d3fbdaf0159{ip: 126.113.200.115, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 12:42:52,476 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #9000417386575462400 to datanode 79c7715d-c12a-4667-8399-c5d28177869a{ip: 47.107.143.64, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 12:42:52,476 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #9000417386575462400 to datanode a19b9084-4238-4dc6-851c-e0d234c1939e{ip: 15.150.107.186, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 12:42:52,476 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 6 milliseconds for processing 1 containers.
