2019-06-17 03:00:35,410 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 03:00:35,416 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 0 containers.
2019-06-17 03:00:35,759 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #6137576991765467136 is under replicated. Expected replica count is 3, but found 2.
2019-06-17 03:00:35,759 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #6137576991765467136 to datanode 811ceba4-cb42-4f76-9c81-3eeb856ba33d{ip: 241.66.85.130, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 03:00:35,766 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 31 milliseconds for processing 1 containers.
2019-06-17 03:00:35,844 INFO  container.ReplicationManager (ReplicationManager.java:sendDeleteCommand(675)) - Sending delete container command for container #6137576991765467136 to datanode d672ce4a-cbe9-4c1d-ab2c-d4efd6cbdc8f{ip: 26.54.247.240, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 03:00:35,846 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 8 milliseconds for processing 1 containers.
2019-06-17 03:00:35,940 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #6137576991765467136 is under replicated. Expected replica count is 3, but found 2.
2019-06-17 03:00:35,940 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #6137576991765467136 to datanode 3944ae77-138f-4177-aedf-2f4fcf44dbbf{ip: 76.29.202.87, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 03:00:35,941 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 1 containers.
2019-06-17 03:00:36,039 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-17 03:00:36,062 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 03:00:36,063 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-17 03:00:36,163 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 1 containers.
2019-06-17 03:00:36,263 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-17 03:00:36,285 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 03:00:36,287 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-17 03:00:36,390 INFO  container.ReplicationManager (ReplicationManager.java:forceCloseContainer(446)) - Force closing container #4027347317223409664 with BCSID 10000, which is in QUASI_CLOSED state.
2019-06-17 03:00:36,391 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #4027347317223409664 to datanode f081bc97-fbce-42f3-9487-3bf89e048a4f{ip: 117.197.45.90, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 03:00:36,392 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #4027347317223409664 to datanode 8b3b3c72-03a7-4912-8f4e-1d675624d070{ip: 191.45.241.55, host: localhost, networkLocation: /default-rack, certSerialId: null}.
