2019-06-17 01:57:32,132 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 01:57:32,140 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 0 containers.
2019-06-17 01:57:32,541 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #3090674909408961536 is under replicated. Expected replica count is 3, but found 2.
2019-06-17 01:57:32,542 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #3090674909408961536 to datanode 55965857-da51-43d0-a07e-b0d201aa1712{ip: 241.66.85.130, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 01:57:32,550 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 36 milliseconds for processing 1 containers.
2019-06-17 01:57:32,622 INFO  container.ReplicationManager (ReplicationManager.java:sendDeleteCommand(675)) - Sending delete container command for container #3090674909408961536 to datanode d6e274c9-4ee6-4ed1-a175-c8fc1bf8027e{ip: 100.71.125.210, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 01:57:32,625 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 8 milliseconds for processing 1 containers.
2019-06-17 01:57:32,719 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #3090674909408961536 is under replicated. Expected replica count is 3, but found 2.
2019-06-17 01:57:32,720 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #3090674909408961536 to datanode 798c0536-f55d-48b8-a4d5-da6b1f1c80b9{ip: 76.29.202.87, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 01:57:32,720 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 1 containers.
2019-06-17 01:57:32,818 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-17 01:57:32,852 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 01:57:32,870 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-17 01:57:32,963 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-17 01:57:33,062 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-17 01:57:33,115 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 01:57:33,122 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-17 01:57:33,225 INFO  container.ReplicationManager (ReplicationManager.java:forceCloseContainer(446)) - Force closing container #930015989459625984 with BCSID 10000, which is in QUASI_CLOSED state.
2019-06-17 01:57:33,227 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #930015989459625984 to datanode 522dffe5-e451-44bc-a3bc-36ca9967cdc2{ip: 220.11.98.28, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 01:57:33,228 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #930015989459625984 to datanode 833a1224-f91e-4b76-aa84-115ffbf9ac8b{ip: 28.44.43.237, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 01:57:33,228 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #930015989459625984 to datanode 79602bf0-c938-4a2c-aa61-de6401eba348{ip: 170.161.92.47, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 01:57:33,229 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 7 milliseconds for processing 1 containers.
2019-06-17 01:57:33,322 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-17 01:57:33,356 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 01:57:33,362 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-17 01:57:33,463 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #7780193152086951936 to datanode f7e0d22a-fd7a-435a-88d7-158c5a45c2ca{ip: 52.9.39.186, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 01:57:33,464 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #7780193152086951936 to datanode c95da1f5-c6e1-4ce6-9e3b-373dac3f899b{ip: 195.93.180.127, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 01:57:33,464 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #7780193152086951936 to datanode 57ad48b0-c2ae-4b6c-a0ce-0f1697a9cbcd{ip: 66.255.127.232, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 01:57:33,465 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 3 milliseconds for processing 1 containers.
2019-06-17 01:57:33,563 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #7780193152086951936 to datanode f7e0d22a-fd7a-435a-88d7-158c5a45c2ca{ip: 52.9.39.186, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 01:57:33,564 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #7780193152086951936 to datanode c95da1f5-c6e1-4ce6-9e3b-373dac3f899b{ip: 195.93.180.127, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 01:57:33,564 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #7780193152086951936 to datanode 57ad48b0-c2ae-4b6c-a0ce-0f1697a9cbcd{ip: 66.255.127.232, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 01:57:33,565 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 1 containers.
2019-06-17 01:57:33,662 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-17 01:57:33,695 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 01:57:33,696 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-17 01:57:33,797 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-17 01:57:33,896 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-17 01:57:33,934 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 01:57:33,935 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-17 01:57:34,053 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-17 01:57:34,069 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 01:57:34,070 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-17 01:57:34,170 INFO  container.ReplicationManager (ReplicationManager.java:handleOverReplicatedContainer(525)) - Container #5651205143221153792 is over replicated. Expected replica count is 3, but found 4.
2019-06-17 01:57:34,172 INFO  container.ReplicationManager (ReplicationManager.java:sendDeleteCommand(675)) - Sending delete container command for container #5651205143221153792 to datanode 52139125-1e58-47df-ae20-f24c5448ee40{ip: 78.225.0.10, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 01:57:34,173 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 3 milliseconds for processing 1 containers.
2019-06-17 01:57:34,270 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-17 01:57:34,284 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 01:57:34,285 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-17 01:57:34,386 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-17 01:57:34,486 INFO  container.ReplicationManager (ReplicationManager.java:sendDeleteCommand(675)) - Sending delete container command for container #2863401816063852544 to datanode b77fc4e2-b8ba-4656-9441-d902685bf115{ip: 53.7.41.101, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 01:57:34,486 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 1 containers.
2019-06-17 01:57:34,588 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #2863401816063852544 is under replicated. Expected replica count is 3, but found 2.
2019-06-17 01:57:34,588 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #2863401816063852544 to datanode e6167184-41f9-41a0-a640-7f383785556b{ip: 241.66.85.130, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 01:57:34,588 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 3 milliseconds for processing 1 containers.
