2019-06-18 06:25:41,321 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-18 06:25:41,493 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-18 06:25:41,494 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-18 06:25:41,589 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f56ed85e-17f9-48d8-808b-1d4f4a35baf4, Nodes: 7b7a0668-2f98-4f65-8a8e-d5d43c00ef0e{ip: 99.192.90.82, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,789 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e945bd5f-0f35-4d46-a63c-55253209980d, Nodes: 1eb9c7d3-5445-47a4-95cd-8e4eb2fd2397{ip: 136.97.227.139, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,790 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9f01a1ee-a1a7-4424-a912-1953b37b0116, Nodes: 1167ff2a-dcbe-4c3a-91c2-ef577f440dca{ip: 42.56.189.148, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,807 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 93335833-0cbc-4548-af50-53a193987878, Nodes: 7b7a0668-2f98-4f65-8a8e-d5d43c00ef0e{ip: 99.192.90.82, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,808 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 07f6ab1c-2dde-47b0-84d9-8b3281295837, Nodes: 6d20a19e-6e28-461a-a6d1-f234861392d5{ip: 21.143.117.64, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,809 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3ff378f2-61ce-480c-b670-e981a8cebe18, Nodes: 1175c0c9-1e65-447c-9e4e-7768d0306324{ip: 32.61.131.147, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,811 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 285a1c9a-2c75-47ca-956a-fbdb0d93af26, Nodes: 1eb9c7d3-5445-47a4-95cd-8e4eb2fd2397{ip: 136.97.227.139, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,812 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0a65d024-888d-4455-a3e6-a88b11d6982a, Nodes: 456485bf-40ab-456d-a128-635f96a93679{ip: 226.102.165.59, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,812 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5526544f-c121-40c7-94c8-504e91143d53, Nodes: 1167ff2a-dcbe-4c3a-91c2-ef577f440dca{ip: 42.56.189.148, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,813 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 326bb2dc-e694-418a-9941-26b40c5423f2, Nodes: 35b4b115-0605-4922-a8f8-15d6c9997a01{ip: 18.225.170.192, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,814 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 72eb3a40-147b-4455-b04b-7a28b5ae2bea, Nodes: 1175c0c9-1e65-447c-9e4e-7768d0306324{ip: 32.61.131.147, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,815 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 081d353c-e1bc-4fb5-9481-57b80f62f798, Nodes: 1eb9c7d3-5445-47a4-95cd-8e4eb2fd2397{ip: 136.97.227.139, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,816 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2926e69d-f515-4cee-b9a4-9160775170c1, Nodes: 745c42bb-5ee7-40f3-a348-45d7c088e0de{ip: 208.231.215.162, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,818 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a225fc8f-1b26-437d-87e9-f2777b52237f, Nodes: 1167ff2a-dcbe-4c3a-91c2-ef577f440dca{ip: 42.56.189.148, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,818 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 46241855-016b-4a5d-9970-fc67d6257bf6, Nodes: 745c42bb-5ee7-40f3-a348-45d7c088e0de{ip: 208.231.215.162, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,819 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9115a8a1-95a5-433a-bd27-0fa346d9a113, Nodes: 35b4b115-0605-4922-a8f8-15d6c9997a01{ip: 18.225.170.192, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,820 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a13fe926-3c90-420e-b40e-6b94317ff7d2, Nodes: 456485bf-40ab-456d-a128-635f96a93679{ip: 226.102.165.59, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,820 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f3fbe78e-0c23-483c-8283-3712dc9d811e, Nodes: 35b4b115-0605-4922-a8f8-15d6c9997a01{ip: 18.225.170.192, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,821 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b4efaad7-a3c3-44b0-b735-ba47ec3db6cd, Nodes: 7b7a0668-2f98-4f65-8a8e-d5d43c00ef0e{ip: 99.192.90.82, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
