2019-06-17 18:17:18,098 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 18:17:18,106 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 3 milliseconds for processing 0 containers.
2019-06-17 18:17:18,483 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #1845808554775461888 is under replicated. Expected replica count is 3, but found 2.
2019-06-17 18:17:18,483 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #1845808554775461888 to datanode 2f40f4b4-e52d-4d88-a601-2d6bc50b6724{ip: 241.66.85.130, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 18:17:18,490 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 32 milliseconds for processing 1 containers.
2019-06-17 18:17:18,566 INFO  container.ReplicationManager (ReplicationManager.java:sendDeleteCommand(675)) - Sending delete container command for container #1845808554775461888 to datanode cd485bc4-a162-4ab9-9f38-d874f7a6eb61{ip: 152.157.239.31, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 18:17:18,568 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 7 milliseconds for processing 1 containers.
2019-06-17 18:17:18,664 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #1845808554775461888 is under replicated. Expected replica count is 3, but found 2.
2019-06-17 18:17:18,664 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #1845808554775461888 to datanode 3c7671f2-9f2f-4afa-b1bb-d471ebdbb8fd{ip: 76.29.202.87, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 18:17:18,664 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 1 containers.
2019-06-17 18:17:18,762 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-17 18:17:18,790 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 18:17:18,791 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-17 18:17:18,891 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-17 18:17:18,991 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-17 18:17:19,015 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 18:17:19,017 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-17 18:17:19,119 INFO  container.ReplicationManager (ReplicationManager.java:forceCloseContainer(446)) - Force closing container #8695250792941821952 with BCSID 10000, which is in QUASI_CLOSED state.
2019-06-17 18:17:19,121 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #8695250792941821952 to datanode 15f9a78a-9fd2-44a6-ab51-4b984e78d6a6{ip: 101.244.12.130, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 18:17:19,122 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #8695250792941821952 to datanode ebecbc07-af42-4024-9159-766351e89dd0{ip: 14.103.210.116, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 18:17:19,122 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #8695250792941821952 to datanode 2183e2b1-89eb-4c8e-bfef-95d0ea57fc45{ip: 237.166.23.7, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 18:17:19,122 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 6 milliseconds for processing 1 containers.
2019-06-17 18:17:19,217 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-17 18:17:19,233 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 18:17:19,234 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
