2019-06-17 06:31:06,135 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 06:31:06,140 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 0 containers.
2019-06-17 06:31:06,472 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #2011216406549644288 is under replicated. Expected replica count is 3, but found 2.
2019-06-17 06:31:06,472 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #2011216406549644288 to datanode ae32dfd2-7233-42e2-a3e0-137dea88a8b7{ip: 241.66.85.130, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 06:31:06,478 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 29 milliseconds for processing 1 containers.
2019-06-17 06:31:06,556 INFO  container.ReplicationManager (ReplicationManager.java:sendDeleteCommand(675)) - Sending delete container command for container #2011216406549644288 to datanode ffe70191-6dd2-4d91-b5e3-29656ba5d7a1{ip: 225.165.143.100, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 06:31:06,558 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 6 milliseconds for processing 1 containers.
2019-06-17 06:31:06,654 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #2011216406549644288 is under replicated. Expected replica count is 3, but found 2.
2019-06-17 06:31:06,655 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #2011216406549644288 to datanode e35aaa1c-8c5d-45a5-936f-04231faf7177{ip: 76.29.202.87, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 06:31:06,655 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 1 containers.
2019-06-17 06:31:06,753 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-17 06:31:06,775 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 06:31:06,776 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-17 06:31:06,876 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-17 06:31:06,976 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-17 06:31:06,993 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 06:31:06,995 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-17 06:31:07,098 INFO  container.ReplicationManager (ReplicationManager.java:forceCloseContainer(446)) - Force closing container #4405007444362855424 with BCSID 10000, which is in QUASI_CLOSED state.
2019-06-17 06:31:07,099 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #4405007444362855424 to datanode fdf32f76-9111-48d1-a545-d443ce216c2c{ip: 80.163.114.163, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 06:31:07,100 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #4405007444362855424 to datanode 182b4eec-1815-42a8-a987-4e0587caa11d{ip: 129.89.111.74, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 06:31:07,100 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #4405007444362855424 to datanode 0a2dd3b4-2a35-491a-bf81-3e57122f21c8{ip: 156.199.14.69, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 06:31:07,101 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 5 milliseconds for processing 1 containers.
2019-06-17 06:31:07,195 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-17 06:31:07,213 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 06:31:07,214 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-17 06:31:07,315 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #1949410100515749888 to datanode 062e557d-2be8-447f-9078-1fc6db200e8f{ip: 213.141.250.182, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 06:31:07,315 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #1949410100515749888 to datanode dfe16d46-da01-43d8-a53e-9f461ea21e05{ip: 55.182.30.73, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 06:31:07,315 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #1949410100515749888 to datanode 432563d4-8fb2-4ec6-a70a-71f1cb53fc02{ip: 243.212.7.120, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 06:31:07,315 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 1 containers.
2019-06-17 06:31:07,414 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #1949410100515749888 to datanode 062e557d-2be8-447f-9078-1fc6db200e8f{ip: 213.141.250.182, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 06:31:07,415 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #1949410100515749888 to datanode dfe16d46-da01-43d8-a53e-9f461ea21e05{ip: 55.182.30.73, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 06:31:07,415 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #1949410100515749888 to datanode 432563d4-8fb2-4ec6-a70a-71f1cb53fc02{ip: 243.212.7.120, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 06:31:07,415 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-17 06:31:07,514 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-17 06:31:07,531 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 06:31:07,532 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-17 06:31:07,632 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 1 containers.
2019-06-17 06:31:07,732 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-17 06:31:07,746 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 06:31:07,747 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-17 06:31:07,860 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-17 06:31:07,871 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 06:31:07,872 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-17 06:31:07,972 INFO  container.ReplicationManager (ReplicationManager.java:handleOverReplicatedContainer(525)) - Container #6253114166836044800 is over replicated. Expected replica count is 3, but found 4.
2019-06-17 06:31:07,974 INFO  container.ReplicationManager (ReplicationManager.java:sendDeleteCommand(675)) - Sending delete container command for container #6253114166836044800 to datanode 857183bb-e659-47e3-bd3c-326bc2b4139c{ip: 72.126.241.189, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 06:31:07,974 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 1 containers.
2019-06-17 06:31:08,072 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-17 06:31:08,087 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 06:31:08,087 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-17 06:31:08,188 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 1 containers.
2019-06-17 06:31:08,288 INFO  container.ReplicationManager (ReplicationManager.java:sendDeleteCommand(675)) - Sending delete container command for container #1432487598887224320 to datanode 1acfa80a-fcd8-42b9-8037-c17524c353fb{ip: 86.136.179.210, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 06:31:08,289 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-17 06:31:08,389 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #1432487598887224320 is under replicated. Expected replica count is 3, but found 2.
2019-06-17 06:31:08,389 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #1432487598887224320 to datanode c3be1029-5e81-42e8-afb3-9d00b1af733c{ip: 241.66.85.130, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 06:31:08,389 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-17 06:31:08,488 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-17 06:31:08,501 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 06:31:08,501 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-17 06:31:08,602 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #5772787646715009024 to datanode bb443284-670b-423e-815b-b8ea794628cc{ip: 162.134.51.5, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 06:31:08,603 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #5772787646715009024 to datanode 45eda039-ae11-44e5-a0c6-dfc12a27e895{ip: 126.249.70.41, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 06:31:08,603 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-17 06:31:08,702 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-17 06:31:08,713 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 06:31:08,713 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-17 06:31:08,814 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 1 containers.
2019-06-17 06:31:08,913 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-17 06:31:08,927 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 06:31:08,928 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-17 06:31:09,028 INFO  container.ReplicationManager (ReplicationManager.java:handleOverReplicatedContainer(525)) - Container #1130516205299065856 is over replicated. Expected replica count is 3, but found 4.
2019-06-17 06:31:09,028 INFO  container.ReplicationManager (ReplicationManager.java:sendDeleteCommand(675)) - Sending delete container command for container #1130516205299065856 to datanode 5edf1d19-cc99-4178-aff1-6c0798ee4dea{ip: 135.234.74.227, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 06:31:09,029 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-17 06:31:09,128 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-17 06:31:09,140 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 06:31:09,142 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-17 06:31:09,242 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #9121105436882075648 is under replicated. Expected replica count is 3, but found 2.
2019-06-17 06:31:09,243 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #9121105436882075648 to datanode 809a5b81-d435-43b8-976f-4af537613e02{ip: 241.66.85.130, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 06:31:09,243 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-17 06:31:09,342 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
