2019-06-17 20:16:14,667 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 20:16:14,674 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 0 containers.
2019-06-17 20:16:15,054 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #7019440482047859712 is under replicated. Expected replica count is 3, but found 2.
2019-06-17 20:16:15,054 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #7019440482047859712 to datanode 339e693d-4ddf-451a-9380-c788d2e64a4e{ip: 241.66.85.130, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 20:16:15,061 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 46 milliseconds for processing 1 containers.
2019-06-17 20:16:15,120 INFO  container.ReplicationManager (ReplicationManager.java:sendDeleteCommand(675)) - Sending delete container command for container #7019440482047859712 to datanode a37ffa54-b822-4242-af7b-6143e422b55c{ip: 134.94.250.247, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 20:16:15,122 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 6 milliseconds for processing 1 containers.
2019-06-17 20:16:15,219 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #7019440482047859712 is under replicated. Expected replica count is 3, but found 2.
2019-06-17 20:16:15,219 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #7019440482047859712 to datanode 113d4b21-91a3-4ca1-911f-efff30230487{ip: 76.29.202.87, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 20:16:15,219 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 1 containers.
2019-06-17 20:16:15,317 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
