2019-06-17 12:16:51,962 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 12:16:51,970 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 0 containers.
2019-06-17 12:16:52,366 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #5684986006676893696 is under replicated. Expected replica count is 3, but found 2.
2019-06-17 12:16:52,366 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #5684986006676893696 to datanode 31d20e30-c965-45ea-b2d8-1ce9ce9af652{ip: 241.66.85.130, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 12:16:52,373 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 34 milliseconds for processing 1 containers.
2019-06-17 12:16:52,448 INFO  container.ReplicationManager (ReplicationManager.java:sendDeleteCommand(675)) - Sending delete container command for container #5684986006676893696 to datanode 7e7bc4b8-f1fd-4484-966a-79a1ddf5b8dc{ip: 183.131.70.68, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 12:16:52,451 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 9 milliseconds for processing 1 containers.
2019-06-17 12:16:52,544 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #5684986006676893696 is under replicated. Expected replica count is 3, but found 2.
2019-06-17 12:16:52,544 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #5684986006676893696 to datanode e603ccdb-9346-4ed1-9942-0457bbeb15a6{ip: 76.29.202.87, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 12:16:52,545 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 1 containers.
2019-06-17 12:16:52,643 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-17 12:16:52,670 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 12:16:52,671 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-17 12:16:52,772 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-17 12:16:52,871 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-17 12:16:52,891 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 12:16:52,893 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-17 12:16:52,996 INFO  container.ReplicationManager (ReplicationManager.java:forceCloseContainer(446)) - Force closing container #5601362738965326848 with BCSID 10000, which is in QUASI_CLOSED state.
