2019-06-18 09:38:07,063 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 09:38:07,074 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 3 milliseconds for processing 0 containers.
2019-06-18 09:38:07,451 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #6329579979507895296 is under replicated. Expected replica count is 3, but found 2.
2019-06-18 09:38:07,451 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #6329579979507895296 to datanode ecca35e9-89e4-44bd-bab4-3414766fd255{ip: 241.66.85.130, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-18 09:38:07,458 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 34 milliseconds for processing 1 containers.
2019-06-18 09:38:07,532 INFO  container.ReplicationManager (ReplicationManager.java:sendDeleteCommand(675)) - Sending delete container command for container #6329579979507895296 to datanode 8f575cc0-3f3b-4bdc-9c09-0999d941be0c{ip: 189.97.219.234, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-18 09:38:07,534 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 7 milliseconds for processing 1 containers.
2019-06-18 09:38:07,629 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #6329579979507895296 is under replicated. Expected replica count is 3, but found 2.
2019-06-18 09:38:07,630 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #6329579979507895296 to datanode 6c878ba2-d5c1-4398-b201-6ac98c0c7b1f{ip: 76.29.202.87, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-18 09:38:07,630 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 1 containers.
2019-06-18 09:38:07,728 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-18 09:38:07,756 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 09:38:07,757 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-18 09:38:07,857 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-18 09:38:07,957 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-18 09:38:07,984 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 09:38:07,987 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-18 09:38:08,090 INFO  container.ReplicationManager (ReplicationManager.java:forceCloseContainer(446)) - Force closing container #7774022405614438400 with BCSID 10000, which is in QUASI_CLOSED state.
2019-06-18 09:38:08,092 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #7774022405614438400 to datanode d58155bd-d233-4a06-9920-f8844a7ad2d7{ip: 144.160.129.53, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 09:38:08,093 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #7774022405614438400 to datanode 90b98b5a-4e8f-4c41-9bd5-a61783ec7527{ip: 111.24.17.223, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 09:38:08,094 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #7774022405614438400 to datanode e46c2965-0552-4990-beab-4da9cb00e0fe{ip: 181.29.146.146, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 09:38:08,094 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 7 milliseconds for processing 1 containers.
2019-06-18 09:38:08,187 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-18 09:38:08,215 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 09:38:08,216 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-18 09:38:08,318 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #6748778532052796416 to datanode 1c235d36-2655-4f38-95f7-6b871c2746da{ip: 99.142.111.151, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 09:38:08,320 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #6748778532052796416 to datanode 854ffb9e-aa50-4ffc-8f55-86cacb27b463{ip: 185.49.171.47, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 09:38:08,320 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #6748778532052796416 to datanode 827f6441-ac57-4398-8d3c-070c3952f67e{ip: 209.147.20.171, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 09:38:08,320 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 3 milliseconds for processing 1 containers.
2019-06-18 09:38:08,417 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #6748778532052796416 to datanode 1c235d36-2655-4f38-95f7-6b871c2746da{ip: 99.142.111.151, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 09:38:08,418 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #6748778532052796416 to datanode 854ffb9e-aa50-4ffc-8f55-86cacb27b463{ip: 185.49.171.47, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 09:38:08,418 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #6748778532052796416 to datanode 827f6441-ac57-4398-8d3c-070c3952f67e{ip: 209.147.20.171, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 09:38:08,418 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-18 09:38:08,517 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-18 09:38:08,536 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 09:38:08,536 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-18 09:38:08,637 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 1 containers.
2019-06-18 09:38:08,737 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-18 09:38:08,755 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 09:38:08,761 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-18 09:38:08,878 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-18 09:38:08,895 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 09:38:08,896 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-18 09:38:08,998 INFO  container.ReplicationManager (ReplicationManager.java:handleOverReplicatedContainer(525)) - Container #1761556769365434368 is over replicated. Expected replica count is 3, but found 4.
2019-06-18 09:38:09,000 INFO  container.ReplicationManager (ReplicationManager.java:sendDeleteCommand(675)) - Sending delete container command for container #1761556769365434368 to datanode e52eeb9c-6459-4efd-8f3d-c5d73815eb1a{ip: 158.11.238.20, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-18 09:38:09,003 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 7 milliseconds for processing 1 containers.
2019-06-18 09:38:09,096 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-18 09:38:09,110 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 09:38:09,111 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-18 09:38:09,212 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-18 09:38:09,312 INFO  container.ReplicationManager (ReplicationManager.java:sendDeleteCommand(675)) - Sending delete container command for container #7689001317936416768 to datanode 07622448-78b1-40cd-8cab-de1444ac277f{ip: 8.204.168.143, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-18 09:38:09,313 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-18 09:38:09,413 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #7689001317936416768 is under replicated. Expected replica count is 3, but found 2.
2019-06-18 09:38:09,413 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #7689001317936416768 to datanode daae84f5-8930-41e4-85fb-06827ab39c65{ip: 241.66.85.130, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-18 09:38:09,413 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-18 09:38:09,512 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-18 09:38:09,526 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 09:38:09,527 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-18 09:38:09,628 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #391777821014063104 to datanode d0d52bd9-fab0-494e-a0ee-b2f3a7ae1f9a{ip: 58.169.128.35, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 09:38:09,628 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #391777821014063104 to datanode ba45905d-97a3-42c9-980a-c0084d2f5732{ip: 226.167.186.170, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 09:38:09,628 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 1 containers.
2019-06-18 09:38:09,727 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-18 09:38:09,738 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 09:38:09,739 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-18 09:38:09,839 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-18 09:38:09,939 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-18 09:38:09,951 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 09:38:09,952 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-18 09:38:10,052 INFO  container.ReplicationManager (ReplicationManager.java:handleOverReplicatedContainer(525)) - Container #6114233515807991808 is over replicated. Expected replica count is 3, but found 4.
2019-06-18 09:38:10,053 INFO  container.ReplicationManager (ReplicationManager.java:sendDeleteCommand(675)) - Sending delete container command for container #6114233515807991808 to datanode 810ad59c-fc92-4bd4-bc41-1bd732e048f4{ip: 133.189.18.131, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-18 09:38:10,053 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-18 09:38:10,152 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-18 09:38:10,163 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 09:38:10,164 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-18 09:38:10,265 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #6656587149655842816 is under replicated. Expected replica count is 3, but found 2.
2019-06-18 09:38:10,265 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #6656587149655842816 to datanode 4f7ba00f-c079-4b09-bcae-2f586029f893{ip: 241.66.85.130, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-18 09:38:10,265 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 1 containers.
2019-06-18 09:38:10,364 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
