2019-06-18 13:10:36,638 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 13:10:36,646 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 0 containers.
2019-06-18 13:10:37,096 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #4051936609322317824 is under replicated. Expected replica count is 3, but found 2.
2019-06-18 13:10:37,096 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #4051936609322317824 to datanode 4a7211dd-4ae8-4827-a4b6-b1207407f2f9{ip: 241.66.85.130, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-18 13:10:37,106 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 42 milliseconds for processing 1 containers.
2019-06-18 13:10:37,183 INFO  container.ReplicationManager (ReplicationManager.java:sendDeleteCommand(675)) - Sending delete container command for container #4051936609322317824 to datanode 29aad287-c60e-4ed8-9561-a412500cd2ff{ip: 195.137.94.189, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-18 13:10:37,185 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 7 milliseconds for processing 1 containers.
2019-06-18 13:10:37,272 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #4051936609322317824 is under replicated. Expected replica count is 3, but found 2.
2019-06-18 13:10:37,272 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #4051936609322317824 to datanode 01f9d18a-2b1c-4fc7-ad30-e5808be63f3d{ip: 76.29.202.87, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-18 13:10:37,273 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 1 containers.
2019-06-18 13:10:37,371 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-18 13:10:37,404 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 13:10:37,405 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-18 13:10:37,506 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-18 13:10:37,605 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-18 13:10:37,631 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 13:10:37,635 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-18 13:10:37,738 INFO  container.ReplicationManager (ReplicationManager.java:forceCloseContainer(446)) - Force closing container #6007909389085250560 with BCSID 10000, which is in QUASI_CLOSED state.
