2019-06-17 00:35:45,003 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 00:35:45,009 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 0 containers.
2019-06-17 00:35:45,337 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #1024900643361180672 is under replicated. Expected replica count is 3, but found 2.
2019-06-17 00:35:45,337 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #1024900643361180672 to datanode 057132e3-c425-409f-a3fc-4d0c7bd21204{ip: 241.66.85.130, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 00:35:45,343 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 29 milliseconds for processing 1 containers.
2019-06-17 00:35:45,421 INFO  container.ReplicationManager (ReplicationManager.java:sendDeleteCommand(675)) - Sending delete container command for container #1024900643361180672 to datanode 8afdae3d-ddd2-40be-8a40-78b3d0fd0a84{ip: 197.243.77.134, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 00:35:45,423 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 6 milliseconds for processing 1 containers.
2019-06-17 00:35:45,519 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #1024900643361180672 is under replicated. Expected replica count is 3, but found 2.
2019-06-17 00:35:45,519 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #1024900643361180672 to datanode 4528d0b7-e6f3-4deb-a220-52b92abc5e69{ip: 76.29.202.87, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 00:35:45,520 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 1 containers.
2019-06-17 00:35:45,618 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-17 00:35:45,646 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 00:35:45,647 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-17 00:35:45,748 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-17 00:35:45,847 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-17 00:35:45,866 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 00:35:45,868 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-17 00:35:45,971 INFO  container.ReplicationManager (ReplicationManager.java:forceCloseContainer(446)) - Force closing container #2663064584929975296 with BCSID 10000, which is in QUASI_CLOSED state.
2019-06-17 00:35:45,973 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #2663064584929975296 to datanode 284ca11a-736f-43c6-b881-3aebc4000dc8{ip: 31.214.166.249, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 00:35:45,974 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #2663064584929975296 to datanode 08c586d1-4e76-4648-914e-dfd15f49c935{ip: 122.206.219.45, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 00:35:45,974 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #2663064584929975296 to datanode 7ec0bb61-92a2-462a-8465-9584e13cb419{ip: 25.138.67.184, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 00:35:45,974 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 6 milliseconds for processing 1 containers.
2019-06-17 00:35:46,068 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-17 00:35:46,085 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 00:35:46,086 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
