2019-06-18 15:56:48,806 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 15:56:48,815 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 0 containers.
2019-06-18 15:56:49,229 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #4314151715591822336 is under replicated. Expected replica count is 3, but found 2.
2019-06-18 15:56:49,230 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #4314151715591822336 to datanode 6bcc22ed-1543-460a-bd74-ea837fcbbc9e{ip: 241.66.85.130, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-18 15:56:49,239 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 38 milliseconds for processing 1 containers.
2019-06-18 15:56:49,314 INFO  container.ReplicationManager (ReplicationManager.java:sendDeleteCommand(675)) - Sending delete container command for container #4314151715591822336 to datanode b408ed77-535a-47ab-81f2-bcefa82fe644{ip: 101.193.31.142, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-18 15:56:49,316 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 8 milliseconds for processing 1 containers.
2019-06-18 15:56:49,407 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #4314151715591822336 is under replicated. Expected replica count is 3, but found 2.
2019-06-18 15:56:49,407 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #4314151715591822336 to datanode e8b3c8b8-773e-4b34-a5a6-31ca9c0bc4e5{ip: 76.29.202.87, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-18 15:56:49,407 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 1 containers.
2019-06-18 15:56:49,506 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-18 15:56:49,535 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 15:56:49,537 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-18 15:56:49,637 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 1 containers.
2019-06-18 15:56:49,737 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-18 15:56:49,758 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 15:56:49,760 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-18 15:56:49,863 INFO  container.ReplicationManager (ReplicationManager.java:forceCloseContainer(446)) - Force closing container #8868051660141207552 with BCSID 10000, which is in QUASI_CLOSED state.
