2019-06-18 11:09:07,186 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 11:09:07,192 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 0 containers.
2019-06-18 11:09:07,543 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #7681359513644724224 is under replicated. Expected replica count is 3, but found 2.
2019-06-18 11:09:07,544 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #7681359513644724224 to datanode 239ffdf8-3cfe-4748-bc47-0f550956bdf5{ip: 241.66.85.130, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-18 11:09:07,549 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 33 milliseconds for processing 1 containers.
2019-06-18 11:09:07,624 INFO  container.ReplicationManager (ReplicationManager.java:sendDeleteCommand(675)) - Sending delete container command for container #7681359513644724224 to datanode 6aa08b23-053f-4ec8-be8f-06cd0d5400f1{ip: 58.73.159.26, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-18 11:09:07,627 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 7 milliseconds for processing 1 containers.
2019-06-18 11:09:07,721 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #7681359513644724224 is under replicated. Expected replica count is 3, but found 2.
2019-06-18 11:09:07,721 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #7681359513644724224 to datanode a7a945d4-f748-4307-afbb-e2c86bc26843{ip: 76.29.202.87, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-18 11:09:07,721 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-18 11:09:07,820 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-18 11:09:07,859 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 11:09:07,879 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-18 11:09:07,971 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-18 11:09:08,071 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-18 11:09:08,088 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 11:09:08,091 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-18 11:09:08,194 INFO  container.ReplicationManager (ReplicationManager.java:forceCloseContainer(446)) - Force closing container #6076474570252706816 with BCSID 10000, which is in QUASI_CLOSED state.
2019-06-18 11:09:08,196 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #6076474570252706816 to datanode a23ec928-097e-40e7-9e14-12bfe47b2c29{ip: 83.91.189.175, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 11:09:08,197 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #6076474570252706816 to datanode 4bfe5006-16d5-4aab-a087-749ee65c9c07{ip: 180.40.235.202, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 11:09:08,197 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #6076474570252706816 to datanode a4590c77-ba86-49b6-8080-abbf00f5f220{ip: 64.222.151.79, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 11:09:08,197 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 6 milliseconds for processing 1 containers.
2019-06-18 11:09:08,291 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-18 11:09:08,308 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 11:09:08,309 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-18 11:09:08,410 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #3299809303971516416 to datanode 44a1cddb-159b-4d77-8b9b-c42c4a289b5c{ip: 140.36.247.206, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 11:09:08,411 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #3299809303971516416 to datanode 5703d4fe-01f4-4b0a-9031-c647f372f863{ip: 167.235.75.241, host: localhost, networkLocation: /default-rack, certSerialId: null}.
