2019-06-16 20:12:04,028 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-16 20:12:04,225 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-16 20:12:04,225 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-16 20:12:04,340 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4dbf201c-4c59-4dd9-8ebd-d3438650ed30, Nodes: 05a97507-d314-4a7c-870e-811b8f2e7610{ip: 110.242.95.88, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:12:04,574 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4e251dd6-a90c-49a9-b6a8-85acc17b60b3, Nodes: 6c2f0ba7-d901-4f50-a346-2f23aa3af451{ip: 182.90.122.220, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:12:04,595 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7ee02934-39c7-4cb6-8462-c3803afe3317, Nodes: 6c2f0ba7-d901-4f50-a346-2f23aa3af451{ip: 182.90.122.220, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:12:04,596 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 865a43c4-8dbc-4408-aed3-ea34feeb2e99, Nodes: 04caa853-0987-44e4-bbea-4c412dd741cd{ip: 136.165.231.142, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:12:04,598 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8f1d0a73-6080-42db-8f59-d8998c185025, Nodes: 98676812-e41b-45b3-b1ea-fa1a04ee2652{ip: 177.105.236.83, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:12:04,600 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9aa9c032-c22f-4bc3-9b6d-fb77f5e529ab, Nodes: 967afe4a-3d99-417a-af83-bd995193a864{ip: 184.109.18.133, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:12:04,601 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f4faf35b-16b4-4603-b144-85450492a525, Nodes: 05a97507-d314-4a7c-870e-811b8f2e7610{ip: 110.242.95.88, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:12:04,602 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f7b94291-3ee1-4a7b-8ca7-478bad3bdcd6, Nodes: 98676812-e41b-45b3-b1ea-fa1a04ee2652{ip: 177.105.236.83, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:12:04,604 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1bccf344-958b-4858-9ec1-aeacd9d7f70b, Nodes: 04caa853-0987-44e4-bbea-4c412dd741cd{ip: 136.165.231.142, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:12:04,605 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 274323da-4b6a-43bb-a700-59af3b604c8f, Nodes: 7cd9597e-9e7f-4ef8-afa2-4b875129e465{ip: 140.212.47.233, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:12:04,605 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 930c26c6-2b0e-435a-b644-210deec163cc, Nodes: 04caa853-0987-44e4-bbea-4c412dd741cd{ip: 136.165.231.142, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
