2019-06-18 06:37:35,996 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 06:37:36,003 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 0 containers.
2019-06-18 06:37:36,375 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #9105804194432821248 is under replicated. Expected replica count is 3, but found 2.
2019-06-18 06:37:36,376 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #9105804194432821248 to datanode 22a3ed61-a6f8-463f-aa8a-49974cb6ce50{ip: 241.66.85.130, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-18 06:37:36,387 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 51 milliseconds for processing 1 containers.
2019-06-18 06:37:36,442 INFO  container.ReplicationManager (ReplicationManager.java:sendDeleteCommand(675)) - Sending delete container command for container #9105804194432821248 to datanode cbf37b8b-5354-4e2f-90c0-5915c8e4d639{ip: 178.243.73.240, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-18 06:37:36,445 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 7 milliseconds for processing 1 containers.
2019-06-18 06:37:36,541 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #9105804194432821248 is under replicated. Expected replica count is 3, but found 2.
2019-06-18 06:37:36,541 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #9105804194432821248 to datanode 8bbe1958-e79c-4071-940a-6b0afcf3c6c5{ip: 76.29.202.87, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-18 06:37:36,541 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 1 containers.
2019-06-18 06:37:36,639 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-18 06:37:36,667 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 06:37:36,668 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-18 06:37:36,768 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-18 06:37:36,868 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-18 06:37:36,888 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 06:37:36,891 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-18 06:37:36,995 INFO  container.ReplicationManager (ReplicationManager.java:forceCloseContainer(446)) - Force closing container #2702678534130268160 with BCSID 10000, which is in QUASI_CLOSED state.
2019-06-18 06:37:36,999 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #2702678534130268160 to datanode f81642f3-9e6f-49f9-9a35-e77a3197c0f3{ip: 148.133.23.102, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 06:37:37,003 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #2702678534130268160 to datanode b540ce66-2674-4bf4-afd2-e3684a9267fd{ip: 245.16.50.159, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 06:37:37,003 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #2702678534130268160 to datanode 4043590e-6a5f-4a84-abe2-aabbc12c6ed9{ip: 235.51.206.21, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 06:37:37,003 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 11 milliseconds for processing 1 containers.
2019-06-18 06:37:37,091 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-18 06:37:37,106 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 06:37:37,107 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-18 06:37:37,208 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #8263992760944479232 to datanode fed57ef9-f144-42a3-a13b-086607505b4e{ip: 217.120.245.217, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 06:37:37,208 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #8263992760944479232 to datanode fc004554-078c-4868-b056-259ed11eea3b{ip: 65.233.52.71, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 06:37:37,209 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #8263992760944479232 to datanode f4ede081-febb-495f-b624-d9afcd02454e{ip: 32.170.144.93, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 06:37:37,209 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-18 06:37:37,308 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #8263992760944479232 to datanode fed57ef9-f144-42a3-a13b-086607505b4e{ip: 217.120.245.217, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 06:37:37,308 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #8263992760944479232 to datanode fc004554-078c-4868-b056-259ed11eea3b{ip: 65.233.52.71, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 06:37:37,308 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #8263992760944479232 to datanode f4ede081-febb-495f-b624-d9afcd02454e{ip: 32.170.144.93, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 06:37:37,308 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-18 06:37:37,407 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-18 06:37:37,421 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 06:37:37,422 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-18 06:37:37,523 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 1 containers.
2019-06-18 06:37:37,622 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-18 06:37:37,639 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 06:37:37,640 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-18 06:37:37,755 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-18 06:37:37,765 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 06:37:37,766 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-18 06:37:37,867 INFO  container.ReplicationManager (ReplicationManager.java:handleOverReplicatedContainer(525)) - Container #4248991407717521408 is over replicated. Expected replica count is 3, but found 4.
2019-06-18 06:37:37,869 INFO  container.ReplicationManager (ReplicationManager.java:sendDeleteCommand(675)) - Sending delete container command for container #4248991407717521408 to datanode 9aaac299-80e0-449e-a086-24ad69993ce2{ip: 194.53.143.206, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-18 06:37:37,869 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 3 milliseconds for processing 1 containers.
2019-06-18 06:37:37,966 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-18 06:37:37,978 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 06:37:37,979 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-18 06:37:38,080 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 1 containers.
2019-06-18 06:37:38,180 INFO  container.ReplicationManager (ReplicationManager.java:sendDeleteCommand(675)) - Sending delete container command for container #1661632845606027264 to datanode e614a945-d3b2-46c4-a637-6130fde9f105{ip: 125.112.119.6, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-18 06:37:38,180 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-18 06:37:38,280 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #1661632845606027264 is under replicated. Expected replica count is 3, but found 2.
2019-06-18 06:37:38,280 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #1661632845606027264 to datanode a83d2525-925c-47e1-9577-88ad572a1e38{ip: 241.66.85.130, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-18 06:37:38,281 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-18 06:37:38,379 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-18 06:37:38,390 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 06:37:38,391 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-18 06:37:38,492 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #5231225554403002368 to datanode 9609a60d-43bd-4dcc-8161-621a67502ae3{ip: 212.163.75.126, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 06:37:38,492 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #5231225554403002368 to datanode 1b19bee1-0697-440a-98d7-fe39412a1115{ip: 202.117.17.19, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 06:37:38,492 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-18 06:37:38,591 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-18 06:37:38,606 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 06:37:38,607 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-18 06:37:38,707 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 1 containers.
2019-06-18 06:37:38,807 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-18 06:37:38,818 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 06:37:38,819 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-18 06:37:38,920 INFO  container.ReplicationManager (ReplicationManager.java:handleOverReplicatedContainer(525)) - Container #2852259360988479488 is over replicated. Expected replica count is 3, but found 4.
