2019-06-17 14:02:50,232 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 14:02:50,238 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 3 milliseconds for processing 0 containers.
2019-06-17 14:02:50,586 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #1401877876712753152 is under replicated. Expected replica count is 3, but found 2.
2019-06-17 14:02:50,586 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #1401877876712753152 to datanode c711f9ba-7790-40e3-b629-4d7b8f81ba4b{ip: 241.66.85.130, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 14:02:50,594 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 33 milliseconds for processing 1 containers.
2019-06-17 14:02:50,677 INFO  container.ReplicationManager (ReplicationManager.java:sendDeleteCommand(675)) - Sending delete container command for container #1401877876712753152 to datanode d5d23ef5-f65a-4101-91ba-a0f925168481{ip: 46.232.254.173, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 14:02:50,679 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 7 milliseconds for processing 1 containers.
2019-06-17 14:02:50,774 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #1401877876712753152 is under replicated. Expected replica count is 3, but found 2.
2019-06-17 14:02:50,775 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #1401877876712753152 to datanode f0709741-7be3-42e3-b03c-7342274f4f64{ip: 76.29.202.87, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 14:02:50,775 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 1 containers.
2019-06-17 14:02:50,873 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-17 14:02:50,901 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 14:02:50,902 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-17 14:02:51,003 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-17 14:02:51,102 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-17 14:02:51,123 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
