2019-06-17 10:58:06,987 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 10:58:06,993 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 3 milliseconds for processing 0 containers.
2019-06-17 10:58:07,337 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #5015405975934935040 is under replicated. Expected replica count is 3, but found 2.
2019-06-17 10:58:07,337 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #5015405975934935040 to datanode a329c3f5-cae5-43fb-9828-f79ac90fb205{ip: 241.66.85.130, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 10:58:07,343 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 29 milliseconds for processing 1 containers.
2019-06-17 10:58:07,420 INFO  container.ReplicationManager (ReplicationManager.java:sendDeleteCommand(675)) - Sending delete container command for container #5015405975934935040 to datanode 3c960ef7-35d0-4871-8be8-8979b19bd794{ip: 181.2.25.103, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 10:58:07,422 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 7 milliseconds for processing 1 containers.
2019-06-17 10:58:07,518 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #5015405975934935040 is under replicated. Expected replica count is 3, but found 2.
2019-06-17 10:58:07,518 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #5015405975934935040 to datanode de047c46-3416-443d-96e4-70e67851c305{ip: 76.29.202.87, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 10:58:07,518 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 1 containers.
2019-06-17 10:58:07,616 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-17 10:58:07,637 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 10:58:07,638 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-17 10:58:07,739 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 1 containers.
2019-06-17 10:58:07,838 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-17 10:58:07,854 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 10:58:07,856 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-17 10:58:07,959 INFO  container.ReplicationManager (ReplicationManager.java:forceCloseContainer(446)) - Force closing container #9018370177310290944 with BCSID 10000, which is in QUASI_CLOSED state.
2019-06-17 10:58:07,960 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #9018370177310290944 to datanode ad05e0a8-3638-4091-8718-083cc840807e{ip: 160.45.34.204, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 10:58:07,961 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #9018370177310290944 to datanode 409e10b5-aa43-490c-8c05-8f1da2ca57c6{ip: 238.232.214.41, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 10:58:07,961 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #9018370177310290944 to datanode 121ade76-4529-4c85-8d7f-3f1f8e7a51ef{ip: 64.74.251.219, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 10:58:07,961 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 5 milliseconds for processing 1 containers.
2019-06-17 10:58:08,056 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-17 10:58:08,070 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 10:58:08,071 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-17 10:58:08,172 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #3882877085758304256 to datanode d29c4ce3-1d0f-4072-b8f3-18278b462bdb{ip: 125.137.165.140, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 10:58:08,172 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #3882877085758304256 to datanode c8a7e976-5168-4904-99e4-45d5a6da892f{ip: 175.111.6.221, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 10:58:08,172 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #3882877085758304256 to datanode f29e5f60-1bf4-4b78-88f6-70a200e8d4d1{ip: 96.130.161.82, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 10:58:08,173 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-17 10:58:08,272 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #3882877085758304256 to datanode d29c4ce3-1d0f-4072-b8f3-18278b462bdb{ip: 125.137.165.140, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 10:58:08,272 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #3882877085758304256 to datanode c8a7e976-5168-4904-99e4-45d5a6da892f{ip: 175.111.6.221, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 10:58:08,272 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #3882877085758304256 to datanode f29e5f60-1bf4-4b78-88f6-70a200e8d4d1{ip: 96.130.161.82, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 10:58:08,272 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-17 10:58:08,371 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-17 10:58:08,386 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 10:58:08,387 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-17 10:58:08,487 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-17 10:58:08,587 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-17 10:58:08,602 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 10:58:08,603 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-17 10:58:08,720 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-17 10:58:08,735 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 10:58:08,736 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-17 10:58:08,836 INFO  container.ReplicationManager (ReplicationManager.java:handleOverReplicatedContainer(525)) - Container #8985731478298892288 is over replicated. Expected replica count is 3, but found 4.
2019-06-17 10:58:08,838 INFO  container.ReplicationManager (ReplicationManager.java:sendDeleteCommand(675)) - Sending delete container command for container #8985731478298892288 to datanode 6fb22e77-e014-4a49-929e-7b2325ba3b38{ip: 161.188.53.115, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 10:58:08,838 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 3 milliseconds for processing 1 containers.
2019-06-17 10:58:08,936 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-17 10:58:08,949 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 10:58:08,950 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-17 10:58:09,050 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 1 containers.
2019-06-17 10:58:09,150 INFO  container.ReplicationManager (ReplicationManager.java:sendDeleteCommand(675)) - Sending delete container command for container #8540689262641974272 to datanode 0155414c-534f-4323-87f9-2b663346b4b6{ip: 226.103.114.84, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 10:58:09,151 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 1 containers.
2019-06-17 10:58:09,251 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #8540689262641974272 is under replicated. Expected replica count is 3, but found 2.
2019-06-17 10:58:09,251 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #8540689262641974272 to datanode 63a7ddfb-6daf-4a9c-ba82-896614f50ed6{ip: 241.66.85.130, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 10:58:09,251 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
