2019-06-17 22:42:44,772 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 22:42:44,781 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 3 milliseconds for processing 0 containers.
2019-06-17 22:42:45,162 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #128070520756516864 is under replicated. Expected replica count is 3, but found 2.
2019-06-17 22:42:45,162 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #128070520756516864 to datanode 743c7732-d879-4ffc-8855-96ad3207e2b4{ip: 241.66.85.130, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 22:42:45,170 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 39 milliseconds for processing 1 containers.
2019-06-17 22:42:45,240 INFO  container.ReplicationManager (ReplicationManager.java:sendDeleteCommand(675)) - Sending delete container command for container #128070520756516864 to datanode d08e404c-50af-4181-b605-96359ac17f4a{ip: 228.197.38.105, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 22:42:45,242 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 9 milliseconds for processing 1 containers.
2019-06-17 22:42:45,336 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #128070520756516864 is under replicated. Expected replica count is 3, but found 2.
2019-06-17 22:42:45,336 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #128070520756516864 to datanode 39b91271-32c4-4c99-b072-868af4d91008{ip: 76.29.202.87, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 22:42:45,337 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 1 containers.
2019-06-17 22:42:45,435 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-17 22:42:45,466 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 22:42:45,467 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-17 22:42:45,568 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 1 containers.
2019-06-17 22:42:45,667 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-17 22:42:45,686 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 22:42:45,688 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-17 22:42:45,791 INFO  container.ReplicationManager (ReplicationManager.java:forceCloseContainer(446)) - Force closing container #7596164180516709376 with BCSID 10000, which is in QUASI_CLOSED state.
2019-06-17 22:42:45,792 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #7596164180516709376 to datanode b09609fc-4d1a-42b0-985b-aeaa66c3cbc7{ip: 218.52.241.26, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 22:42:45,793 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #7596164180516709376 to datanode fe62a6ad-5d2e-4c9f-baab-b73b71218ddd{ip: 248.201.106.39, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 22:42:45,793 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #7596164180516709376 to datanode 9d68e5ac-0851-4af5-961b-fdce773327ed{ip: 197.139.29.137, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 22:42:45,793 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 6 milliseconds for processing 1 containers.
2019-06-17 22:42:45,888 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-17 22:42:45,909 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
