2019-06-17 22:42:57,174 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 22:42:57,385 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-17 22:42:57,387 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 22:42:57,529 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7692d6c7-aa07-43bb-8daa-641682951617, Nodes: 12ecaac9-f4a7-4ab6-aa3d-2dee920234a8{ip: 245.206.19.171, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,845 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ee245cf1-55b1-4ab1-b1cd-bc71d6766a88, Nodes: f7b854c3-0a4d-4ef7-9035-28e003a41467{ip: 76.122.161.10, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,850 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b6eb0fb9-7375-44d8-b890-011936d7b91d, Nodes: 351f63d7-b3ca-4cdd-a226-f7cf5a2c3fbb{ip: 235.129.146.61, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,852 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f57c6576-c1f1-4dc8-8bad-81812540254e, Nodes: 2a343df8-411a-4ac1-b15b-a5e983a6651a{ip: 146.52.167.139, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,853 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: eea44508-9caf-4ed7-a8f6-8df25c3b0904, Nodes: 4b1134a3-a5e6-46a0-89d5-d4b1d0ee34a0{ip: 86.85.176.132, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,854 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8634632a-2b96-4171-b29c-02d3041f9ee9, Nodes: 53c17031-9b1f-4f5b-a37d-81547a8fc73f{ip: 202.193.16.33, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,855 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7f6c411f-a176-4931-bc4b-7693ed048833, Nodes: 53c17031-9b1f-4f5b-a37d-81547a8fc73f{ip: 202.193.16.33, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,856 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b1092cf5-d409-4493-9c6e-068b0b9e492d, Nodes: f7b854c3-0a4d-4ef7-9035-28e003a41467{ip: 76.122.161.10, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,858 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c652cddc-965e-4583-ad67-0ac5cdcb75e3, Nodes: 2a343df8-411a-4ac1-b15b-a5e983a6651a{ip: 146.52.167.139, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,862 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b8f06c63-96f0-4855-8bd3-8993e3f164fd, Nodes: 351f63d7-b3ca-4cdd-a226-f7cf5a2c3fbb{ip: 235.129.146.61, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,862 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: bf4720c9-95c4-47da-9cb8-ef0e241811d5, Nodes: 4b1134a3-a5e6-46a0-89d5-d4b1d0ee34a0{ip: 86.85.176.132, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,863 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 36e213e5-7d76-40ab-944c-a9f3b7c04af6, Nodes: 351f63d7-b3ca-4cdd-a226-f7cf5a2c3fbb{ip: 235.129.146.61, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,864 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 77750c26-bc9a-49cb-8fa3-f2360e6d6a7c, Nodes: f7b854c3-0a4d-4ef7-9035-28e003a41467{ip: 76.122.161.10, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,866 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 07f58e34-d94e-41f6-ae4d-0edd4a774fd7, Nodes: 53c17031-9b1f-4f5b-a37d-81547a8fc73f{ip: 202.193.16.33, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,866 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d16faeb9-1f0d-4062-b483-486b41e98e42, Nodes: 2a343df8-411a-4ac1-b15b-a5e983a6651a{ip: 146.52.167.139, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,867 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d19c661c-c133-422e-b431-00368c5ad1c3, Nodes: 2a343df8-411a-4ac1-b15b-a5e983a6651a{ip: 146.52.167.139, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,867 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a1491222-5bb2-4906-b720-908f6a4717db, Nodes: d4186ee3-2821-45bd-9151-4a2036f26e31{ip: 186.114.235.73, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,868 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d89a8450-bdcd-4ea8-8227-95afdd2658f7, Nodes: f7b854c3-0a4d-4ef7-9035-28e003a41467{ip: 76.122.161.10, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,868 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 074e72e5-2d6e-41b1-8188-dec5344e65df, Nodes: 4b1134a3-a5e6-46a0-89d5-d4b1d0ee34a0{ip: 86.85.176.132, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
