2019-06-17 03:10:07,159 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 03:10:07,164 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 0 containers.
2019-06-17 03:10:07,555 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #3634580549728295936 is under replicated. Expected replica count is 3, but found 2.
2019-06-17 03:10:07,555 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #3634580549728295936 to datanode 9052eda2-5673-4737-a35b-41d74bcf9e2a{ip: 241.66.85.130, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 03:10:07,562 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 34 milliseconds for processing 1 containers.
2019-06-17 03:10:07,636 INFO  container.ReplicationManager (ReplicationManager.java:sendDeleteCommand(675)) - Sending delete container command for container #3634580549728295936 to datanode 56a1c672-622f-4760-b5c4-f553d9b44a28{ip: 4.90.134.242, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 03:10:07,638 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 7 milliseconds for processing 1 containers.
2019-06-17 03:10:07,733 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #3634580549728295936 is under replicated. Expected replica count is 3, but found 2.
2019-06-17 03:10:07,733 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #3634580549728295936 to datanode 633a902b-dd59-4f63-86f0-743d783d98a2{ip: 76.29.202.87, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 03:10:07,734 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 1 containers.
2019-06-17 03:10:07,832 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-17 03:10:07,860 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
