2019-06-17 21:27:30,064 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 21:27:30,248 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-17 21:27:30,249 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 21:27:30,350 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 676b7a40-19ad-410d-a7a8-332a403f4424, Nodes: 2cd475f8-8013-4063-b9e0-f60fcfe87ded{ip: 95.113.244.19, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 21:27:30,566 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 07f38b6c-519f-4bac-9e0f-282eb7664343, Nodes: 8a868fec-106b-4380-bdd2-f3c056735908{ip: 224.142.86.70, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 21:27:30,568 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2a473738-955d-46d4-9f21-839cbb909496, Nodes: 7d3dd249-71de-4720-8b14-46e76d1f3276{ip: 18.243.195.31, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 21:27:30,583 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: bfdf1a42-5f69-413a-8617-e79bf259a6a1, Nodes: e4d83cae-9645-4fa4-9171-3938b9814783{ip: 230.208.246.255, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 21:27:30,588 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c5543271-fc79-4790-a424-5c100122a9f4, Nodes: bf7d24ae-0193-4f07-af16-4092fc3471b5{ip: 224.73.248.79, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 21:27:30,589 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9022f78a-4456-4eac-b0b4-ffbbb33d9d29, Nodes: e4da881f-0597-4057-8416-83be5befe778{ip: 167.180.141.91, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 21:27:30,591 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5e52d40d-7908-4629-9a94-5153a6739643, Nodes: d1119e28-5709-47a3-aebb-c27d7225488c{ip: 28.230.152.170, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 21:27:30,592 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 611ca714-3a74-483f-b127-8cd27355e127, Nodes: 955393d4-7f35-4847-b62c-d4976eb140e0{ip: 4.192.24.135, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 21:27:30,592 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2fc02b46-e871-4d48-84dc-8a22587ce8f0, Nodes: bf7d24ae-0193-4f07-af16-4092fc3471b5{ip: 224.73.248.79, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 21:27:30,593 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 36171e91-3e67-4149-be8f-7f893f8dc66b, Nodes: e4da881f-0597-4057-8416-83be5befe778{ip: 167.180.141.91, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 21:27:30,594 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0a1bd268-5ede-4cfb-bc18-13b23aef1c04, Nodes: 2cd475f8-8013-4063-b9e0-f60fcfe87ded{ip: 95.113.244.19, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
