2019-06-17 14:53:57,688 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 14:53:57,847 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-17 14:53:57,848 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 14:53:57,939 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5afbb619-99d6-4c98-8e36-73aa1dfc9ece, Nodes: daf0d721-efe9-4e00-b64a-0673411e1928{ip: 30.153.98.70, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:53:58,149 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: eb29cf28-f2ca-4879-b5b6-6bb18482b51b, Nodes: 9cb934b7-0e35-4abd-9df4-45145c5c32db{ip: 177.167.209.149, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:53:58,167 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2b76fef6-145a-4dad-ba5e-cccd122486cc, Nodes: 8b5d5afe-4486-40ff-b8fd-7d22b3cca1a5{ip: 145.118.244.36, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:53:58,169 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7f1cc489-9a54-4f22-80bf-801293097c58, Nodes: f554b4a9-07dd-492f-9dba-48905d5bd16f{ip: 46.57.205.8, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:53:58,170 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c18b07b4-646c-41da-9a69-7f69a8cecad9, Nodes: e38ae64b-6a65-4d74-8731-7bc631a06e84{ip: 156.61.88.9, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:53:58,171 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 288a2129-ad42-423e-b126-1867d6a4ecd0, Nodes: 9cb934b7-0e35-4abd-9df4-45145c5c32db{ip: 177.167.209.149, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:53:58,172 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d4bd683b-0e1f-4438-be15-1e717bc48166, Nodes: 12f48ad6-6ce4-4539-bcee-c0c680bc8aaa{ip: 8.64.223.87, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:53:58,173 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 221e9a41-04f9-4ebb-81df-5076c07a0b0e, Nodes: f554b4a9-07dd-492f-9dba-48905d5bd16f{ip: 46.57.205.8, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:53:58,174 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d3e11633-c9a1-40ca-bf3b-1c4551370626, Nodes: da67bbf7-021a-4ca1-b8c2-5dbe3a1afe1c{ip: 105.3.56.139, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:53:58,175 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 53a6857d-7309-4352-b634-bd5e91fa5a85, Nodes: 12f48ad6-6ce4-4539-bcee-c0c680bc8aaa{ip: 8.64.223.87, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:53:58,175 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9a2d1123-34be-43a4-9c17-019fc901ed98, Nodes: 8b5d5afe-4486-40ff-b8fd-7d22b3cca1a5{ip: 145.118.244.36, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
