2019-06-17 01:52:08,905 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 01:52:08,911 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 0 containers.
2019-06-17 01:52:09,236 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #6827485679184280576 is under replicated. Expected replica count is 3, but found 2.
2019-06-17 01:52:09,236 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #6827485679184280576 to datanode 0c8406f8-5b5a-4753-9e18-93e3decfe5fc{ip: 241.66.85.130, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 01:52:09,242 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 25 milliseconds for processing 1 containers.
2019-06-17 01:52:09,325 INFO  container.ReplicationManager (ReplicationManager.java:sendDeleteCommand(675)) - Sending delete container command for container #6827485679184280576 to datanode 7cd4ea11-57df-4702-9f42-60072e59af5f{ip: 121.131.83.224, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 01:52:09,327 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 8 milliseconds for processing 1 containers.
2019-06-17 01:52:09,422 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #6827485679184280576 is under replicated. Expected replica count is 3, but found 2.
2019-06-17 01:52:09,422 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #6827485679184280576 to datanode b7d0d5a2-3180-4e28-b745-b2dde43f92ce{ip: 76.29.202.87, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 01:52:09,422 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 1 containers.
2019-06-17 01:52:09,520 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-17 01:52:09,551 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 01:52:09,552 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-17 01:52:09,653 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-17 01:52:09,752 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-17 01:52:09,772 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 01:52:09,775 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-17 01:52:09,878 INFO  container.ReplicationManager (ReplicationManager.java:forceCloseContainer(446)) - Force closing container #3906557907129012224 with BCSID 10000, which is in QUASI_CLOSED state.
2019-06-17 01:52:09,879 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #3906557907129012224 to datanode e24bafad-e933-4a43-a61c-f67df260650e{ip: 154.94.117.175, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 01:52:09,881 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #3906557907129012224 to datanode a2c961c6-0128-439c-8260-bd6f3501ca02{ip: 195.172.220.14, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 01:52:09,881 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #3906557907129012224 to datanode de1a10af-be32-4d6a-b6b6-8297e1310ea3{ip: 190.101.253.98, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 01:52:09,881 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 6 milliseconds for processing 1 containers.
2019-06-17 01:52:09,975 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-17 01:52:09,992 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 01:52:09,992 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-17 01:52:10,093 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #6919483556944410624 to datanode 005c91fc-c128-41a8-ac39-e3160db96bac{ip: 238.176.16.173, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 01:52:10,094 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #6919483556944410624 to datanode 6df45a4f-7c8e-41b8-a922-710c782bcf58{ip: 115.109.164.169, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 01:52:10,094 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #6919483556944410624 to datanode b7b3a632-9be8-4311-9643-a015cdfd98d1{ip: 73.117.62.93, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 01:52:10,094 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-17 01:52:10,193 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #6919483556944410624 to datanode 005c91fc-c128-41a8-ac39-e3160db96bac{ip: 238.176.16.173, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 01:52:10,193 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #6919483556944410624 to datanode 6df45a4f-7c8e-41b8-a922-710c782bcf58{ip: 115.109.164.169, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 01:52:10,194 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #6919483556944410624 to datanode b7b3a632-9be8-4311-9643-a015cdfd98d1{ip: 73.117.62.93, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 01:52:10,194 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-17 01:52:10,293 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-17 01:52:10,307 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 01:52:10,308 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
