2019-06-18 03:51:53,288 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-18 03:51:53,473 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-18 03:51:53,474 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-18 03:51:53,569 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fa7e1aa7-9bfc-4e90-9f46-aac495f2739a, Nodes: b70913a9-03d9-4a2b-ace3-1dcb720a7b01{ip: 226.178.57.63, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:51:53,801 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: dd018d8b-0842-4e76-aae7-330efdf7067f, Nodes: 87c21a7a-5a17-483d-82df-a017f3d07add{ip: 80.17.211.105, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:51:53,804 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 31cbd886-bde2-4ca2-9be8-cfd4270bc704, Nodes: ad8b9183-e43d-45d1-91e7-3dd0757f8da9{ip: 34.10.142.4, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:51:53,820 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8485e1de-8cfe-47e3-a006-9c4ee7d4267f, Nodes: ad8b9183-e43d-45d1-91e7-3dd0757f8da9{ip: 34.10.142.4, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:51:53,822 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b3ba1b33-5613-4fee-91ad-147851435438, Nodes: ad8b9183-e43d-45d1-91e7-3dd0757f8da9{ip: 34.10.142.4, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:51:53,823 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: dff4ae77-01b2-4a83-85e8-3871b6370fde, Nodes: 87c21a7a-5a17-483d-82df-a017f3d07add{ip: 80.17.211.105, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:51:53,824 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 65f3992c-afdb-4693-be5c-6a6cdfa7e9ae, Nodes: 63c9c97e-8b59-40ff-8db0-dd846a324ee8{ip: 223.35.254.81, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:51:53,824 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: afb4a71d-77a8-4b20-8292-befa9b451d29, Nodes: b70913a9-03d9-4a2b-ace3-1dcb720a7b01{ip: 226.178.57.63, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:51:53,826 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 565eefa4-dadd-4fc1-8cab-d4bdfae38a58, Nodes: 15fddc31-80d2-48e1-8c33-f35fc332f631{ip: 53.212.139.84, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:51:53,826 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b417c600-3c6d-4cc4-9c02-46899fb2b56e, Nodes: a562e751-56b0-4ed7-931d-3a009c237104{ip: 191.62.0.135, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:51:53,827 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1a44beb2-0d37-43d0-86da-7ec1afe680d6, Nodes: c7b122e5-b4fc-4fac-b57f-8a9050017d58{ip: 177.194.219.40, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
