2019-06-18 03:31:03,907 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 03:31:03,915 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 0 containers.
2019-06-18 03:31:04,319 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #1584429795324393472 is under replicated. Expected replica count is 3, but found 2.
2019-06-18 03:31:04,320 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #1584429795324393472 to datanode ce80a695-9ee9-4b5c-9552-3fe5a69ffd16{ip: 241.66.85.130, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-18 03:31:04,326 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 29 milliseconds for processing 1 containers.
2019-06-18 03:31:04,406 INFO  container.ReplicationManager (ReplicationManager.java:sendDeleteCommand(675)) - Sending delete container command for container #1584429795324393472 to datanode abd86ed0-0bc7-4951-baa1-b283121c7255{ip: 245.182.180.85, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-18 03:31:04,408 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 8 milliseconds for processing 1 containers.
2019-06-18 03:31:04,503 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #1584429795324393472 is under replicated. Expected replica count is 3, but found 2.
2019-06-18 03:31:04,503 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #1584429795324393472 to datanode 6032218f-d053-4da7-a01c-be39f304c7e0{ip: 76.29.202.87, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-18 03:31:04,504 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 1 containers.
2019-06-18 03:31:04,602 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-18 03:31:04,632 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 03:31:04,633 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-18 03:31:04,734 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 1 containers.
2019-06-18 03:31:04,833 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-18 03:31:04,854 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 03:31:04,856 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-18 03:31:04,958 INFO  container.ReplicationManager (ReplicationManager.java:forceCloseContainer(446)) - Force closing container #7485930053022836736 with BCSID 10000, which is in QUASI_CLOSED state.
2019-06-18 03:31:04,960 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #7485930053022836736 to datanode 34370c72-73b4-4895-b1db-40a008014546{ip: 1.100.84.199, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 03:31:04,961 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #7485930053022836736 to datanode 03208566-dad8-4020-ae3c-990fd6a2f17a{ip: 167.112.77.186, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 03:31:04,961 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #7485930053022836736 to datanode 0fde683b-0cf3-4a6c-9ba8-418c8febdddd{ip: 236.110.215.212, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 03:31:04,962 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 5 milliseconds for processing 1 containers.
2019-06-18 03:31:05,056 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-18 03:31:05,073 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 03:31:05,074 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-18 03:31:05,175 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #3084122923435836416 to datanode 4bf54378-7295-4003-93f2-516475122415{ip: 172.179.244.32, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 03:31:05,175 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #3084122923435836416 to datanode 3a591f23-a918-4b90-8999-6f20e3ebb99d{ip: 79.71.246.172, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 03:31:05,175 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #3084122923435836416 to datanode 355b8d0b-3d0e-408a-9dec-71d3debfd893{ip: 158.167.254.163, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 03:31:05,175 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 1 containers.
2019-06-18 03:31:05,274 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #3084122923435836416 to datanode 4bf54378-7295-4003-93f2-516475122415{ip: 172.179.244.32, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 03:31:05,275 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #3084122923435836416 to datanode 3a591f23-a918-4b90-8999-6f20e3ebb99d{ip: 79.71.246.172, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 03:31:05,275 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #3084122923435836416 to datanode 355b8d0b-3d0e-408a-9dec-71d3debfd893{ip: 158.167.254.163, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 03:31:05,275 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 1 containers.
2019-06-18 03:31:05,374 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-18 03:31:05,386 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 03:31:05,387 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-18 03:31:05,488 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 1 containers.
