2019-06-17 14:54:34,533 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 14:54:34,772 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-17 14:54:34,773 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 14:54:34,897 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 70feebf7-5aab-4dff-a9ee-9019beddf057, Nodes: 32f66e0e-5da4-42a5-afef-ad26808c4575{ip: 233.131.135.238, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:54:35,170 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a211f026-bd12-46f0-a9a8-cd725903ce75, Nodes: 30a93007-b423-4ed9-9670-ef9f5a15e77f{ip: 248.107.192.224, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:54:35,206 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f5fe2180-788a-4195-8f18-91cbb0371d82, Nodes: 34ca787f-1749-400d-be62-6ee329ce49bc{ip: 75.213.60.251, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:54:35,207 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 35303251-7e65-4af2-bb0d-a049ddf5484a, Nodes: 34ca787f-1749-400d-be62-6ee329ce49bc{ip: 75.213.60.251, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:54:35,208 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 78dc2ff3-c12b-49ad-b07f-c602012f0d90, Nodes: b0cc9993-eab1-490d-b5a6-febb60c61939{ip: 229.124.145.85, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:54:35,209 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2dc61f66-c7c2-487a-9082-2c677550fc0b, Nodes: 67303f6c-fc7c-4cc6-92f4-0bcf501284ce{ip: 12.34.147.123, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:54:35,210 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 68989f0b-d9b1-459d-b81b-e3aedb5484d2, Nodes: 32f66e0e-5da4-42a5-afef-ad26808c4575{ip: 233.131.135.238, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:54:35,211 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b853edc3-91a5-4805-a3d5-25c6d968001d, Nodes: bcc5c36e-cd42-4502-a04c-7368fd08e359{ip: 58.60.82.191, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:54:35,212 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9ba6de99-6700-4115-8017-476e3d47e510, Nodes: 34ca787f-1749-400d-be62-6ee329ce49bc{ip: 75.213.60.251, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:54:35,213 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7fb51d30-8814-41b5-8473-8d38495e25f7, Nodes: 30a93007-b423-4ed9-9670-ef9f5a15e77f{ip: 248.107.192.224, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:54:35,214 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3792a1e4-6c4e-481f-9d9a-d415aa194ccc, Nodes: 67303f6c-fc7c-4cc6-92f4-0bcf501284ce{ip: 12.34.147.123, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
