2019-06-17 06:04:25,719 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 06:04:25,726 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 0 containers.
2019-06-17 06:04:26,059 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #2930884236762390528 is under replicated. Expected replica count is 3, but found 2.
2019-06-17 06:04:26,060 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #2930884236762390528 to datanode 334e165c-ec36-4f1a-8772-f22a2036e193{ip: 241.66.85.130, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 06:04:26,066 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 29 milliseconds for processing 1 containers.
2019-06-17 06:04:26,144 INFO  container.ReplicationManager (ReplicationManager.java:sendDeleteCommand(675)) - Sending delete container command for container #2930884236762390528 to datanode c5ece3f0-89b7-483e-a043-aede8ac0ccc7{ip: 173.64.131.125, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 06:04:26,147 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 8 milliseconds for processing 1 containers.
2019-06-17 06:04:26,242 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #2930884236762390528 is under replicated. Expected replica count is 3, but found 2.
2019-06-17 06:04:26,242 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #2930884236762390528 to datanode 3a2834bc-35de-49ca-a6a0-95b17de2288e{ip: 76.29.202.87, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-17 06:04:26,242 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 1 containers.
2019-06-17 06:04:26,340 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-17 06:04:26,368 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 06:04:26,369 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-17 06:04:26,469 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-17 06:04:26,569 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-17 06:04:26,585 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 06:04:26,587 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-17 06:04:26,690 INFO  container.ReplicationManager (ReplicationManager.java:forceCloseContainer(446)) - Force closing container #2838108827188349952 with BCSID 10000, which is in QUASI_CLOSED state.
2019-06-17 06:04:26,692 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #2838108827188349952 to datanode fa2110de-a771-49f3-898d-47a58fd6105f{ip: 228.69.92.244, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 06:04:26,693 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #2838108827188349952 to datanode 2a624436-5929-4214-a192-54ff6307fe01{ip: 240.111.164.146, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 06:04:26,693 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #2838108827188349952 to datanode 46ee72cf-e2b0-4a4c-84f9-0880ac3a6399{ip: 172.70.62.13, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 06:04:26,694 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 7 milliseconds for processing 1 containers.
2019-06-17 06:04:26,787 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-17 06:04:26,804 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-17 06:04:26,805 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-17 06:04:26,906 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #6534361206914843648 to datanode 3693a5fc-5114-4e21-8393-a1bdd91c11e6{ip: 181.142.37.199, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 06:04:26,907 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #6534361206914843648 to datanode 0d8f7280-deeb-4a52-81e4-5dd3d6274139{ip: 41.247.141.80, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 06:04:26,907 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #6534361206914843648 to datanode a7947470-8525-4a06-9a2b-965c3220922a{ip: 42.127.170.56, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-17 06:04:26,907 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
