2019-06-18 12:37:53,891 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 12:37:53,897 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 0 containers.
2019-06-18 12:37:54,297 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #1126615211050732544 is under replicated. Expected replica count is 3, but found 2.
2019-06-18 12:37:54,297 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #1126615211050732544 to datanode c3ffd464-2877-450f-a221-6b27bc9204bb{ip: 241.66.85.130, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-18 12:37:54,304 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 31 milliseconds for processing 1 containers.
2019-06-18 12:37:54,380 INFO  container.ReplicationManager (ReplicationManager.java:sendDeleteCommand(675)) - Sending delete container command for container #1126615211050732544 to datanode 6a9782b2-9b0a-495e-ac9b-46963c879751{ip: 12.114.109.136, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-18 12:37:54,382 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 7 milliseconds for processing 1 containers.
2019-06-18 12:37:54,478 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #1126615211050732544 is under replicated. Expected replica count is 3, but found 2.
2019-06-18 12:37:54,478 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #1126615211050732544 to datanode 8c53d700-320f-4159-b93a-2cd31f6a1441{ip: 76.29.202.87, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-18 12:37:54,479 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 1 containers.
2019-06-18 12:37:54,577 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-18 12:37:54,604 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 12:37:54,614 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-06-18 12:37:54,715 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-18 12:37:54,814 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-18 12:37:54,833 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 12:37:54,835 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-18 12:37:54,938 INFO  container.ReplicationManager (ReplicationManager.java:forceCloseContainer(446)) - Force closing container #3824256343884179456 with BCSID 10000, which is in QUASI_CLOSED state.
2019-06-18 12:37:54,939 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #3824256343884179456 to datanode 3ad61c94-9a61-4ae3-98de-f59e7ed9ecde{ip: 154.240.89.198, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 12:37:54,940 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #3824256343884179456 to datanode bce2c0a1-ea43-47f4-8c65-19d9874be186{ip: 247.238.115.206, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 12:37:54,940 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #3824256343884179456 to datanode d5bb4d93-8b44-4e02-9693-f0e07ae2e1db{ip: 59.146.117.45, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 12:37:54,941 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 5 milliseconds for processing 1 containers.
2019-06-18 12:37:55,036 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-18 12:37:55,051 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-18 12:37:55,052 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-18 12:37:55,152 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #7009020905600870400 to datanode 6cc0542d-376c-4016-a8b3-1514178f6aa0{ip: 125.229.14.246, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 12:37:55,153 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #7009020905600870400 to datanode 35ee43ea-195f-4ae3-87cc-f3721b044ca6{ip: 6.228.26.42, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 12:37:55,153 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #7009020905600870400 to datanode f929a4ef-1ef4-4dfe-889e-0fb8a2f150b5{ip: 109.160.38.244, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 12:37:55,153 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-18 12:37:55,252 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #7009020905600870400 to datanode 6cc0542d-376c-4016-a8b3-1514178f6aa0{ip: 125.229.14.246, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-18 12:37:55,252 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #7009020905600870400 to datanode 35ee43ea-195f-4ae3-87cc-f3721b044ca6{ip: 6.228.26.42, host: localhost, networkLocation: /default-rack, certSerialId: null}.
